trial_id,value,state,p_fast_period,p_slow_period,p_signal_period,p_entry_hhmm_min,a_fold1_test_calmar,a_fold1_test_return,a_fold1_test_trades,a_fold1_test_mdd,a_fold1_test_win_rate,a_fold1_overfit,a_fold1_monthly_trades,a_fold1_gates_passed,a_fold2_test_calmar,a_fold2_test_trades,a_fold2_test_win_rate,a_fold2_monthly_trades,a_fold2_all_pass,a_fold3_test_return,a_fold3_test_mdd,a_fold3_overfit,a_fold3_gates_passed,a_avg_calmar,a_avg_monthly_trades,a_agg_win_rate,a_agg_gates_passed,a_fold1_all_pass,a_fold2_test_return,a_fold2_test_mdd,a_fold2_overfit,a_fold2_gates_passed,a_fold3_test_calmar,a_fold3_test_trades,a_fold3_test_win_rate,a_fold3_monthly_trades,a_fold3_all_pass,a_avg_overfit,a_agg_trades,a_worst_mdd,a_valid,a_failed_aggregate_gates
0,19.716668596093314,TrialState.COMPLETE,8,22,7,1460,40.814684478288775,0.1257263714553496,61,-0.02377747990907346,0.5081967213114754,,30.5,5,-3.290539863692072,59,0.3050847457627119,29.5,False,0.1446813554307591,-0.06208679287280081,,5,19.716668596093314,30.5,0.44808743169398907,5,True,-0.044636949847694174,-0.07437052226498142,,4,21.625861173683237,63,0.5238095238095238,31.5,True,,183,-0.07437052226498142,True,
1,35.70217823032759,TrialState.COMPLETE,8,32,9,1460,94.61397009870625,0.1748735326443449,56,-0.016032042821694695,0.5535714285714286,,28.0,5,-4.075863290630834,51,0.29411764705882354,25.5,False,0.10217703354426755,-0.05104861902451429,6.504342710027316,5,35.70217823032759,26.333333333333332,0.47468354430379744,5,True,-0.04326748587559437,-0.05840240020521068,-1.6717193290748238,3,16.568427882907358,51,0.5686274509803921,25.5,True,2.4163116904762463,158,-0.05840240020521068,True,
2,32.53350400447118,TrialState.COMPLETE,10,34,7,1490,93.27299037430286,0.17336137154079267,57,-0.016064228378355756,0.5614035087719298,,28.5,5,-3.7550852917479274,50,0.28,25.0,False,0.05635838849782382,-0.05104462512100104,2.670640257190482,5,32.53350400447118,26.5,0.4528301886792453,5,True,-0.04005770797747077,-0.05917092406388575,-1.5376987762684446,3,8.082606930858619,52,0.5,26.0,True,0.5664707404610186,159,-0.05917092406388575,True,
3,23.974944044597873,TrialState.COMPLETE,10,20,8,1500,50.86028342636378,0.1428104808138546,48,-0.022571626388001812,0.5,,24.0,5,0.7136290877112538,53,0.39622641509433965,26.5,False,0.0796785427740545,-0.030509483621167947,19.168489835800667,5,23.974944044597873,26.333333333333332,0.46835443037974683,5,True,0.005536088742117196,-0.04836565365587533,1.8378158161131786,5,20.350919619718585,57,0.5087719298245614,28.5,True,10.503152825956922,158,-0.04836565365587533,True,
4,22.762490839334628,TrialState.COMPLETE,10,26,12,1500,62.76334522313664,0.12329408635819572,37,-0.01507585105282306,0.5405405405405406,3485.4579127125903,18.5,5,-0.8345705330886656,40,0.4,20.0,False,0.05369661208040477,-0.061380317833384726,2.089376030189878,5,22.762490839334628,21.333333333333332,0.484375,5,True,-0.008043105071569134,-0.0580224626089636,-0.34794267805193013,4,6.358697827955911,51,0.5098039215686274,25.5,True,1162.3997820215761,128,-0.061380317833384726,True,
5,35.46505246446338,TrialState.COMPLETE,12,22,9,1480,82.53944658942461,0.1401599897145942,51,-0.01356470386336565,0.5098039215686274,,25.5,5,-0.1402258389714832,50,0.4,25.0,False,0.10142393538075467,-0.03491691912334744,12.475397884524064,5,35.46505246446338,25.0,0.48,5,True,-0.001173234782083088,-0.051269916250118015,-0.18990847838381752,4,23.99593664293702,49,0.5306122448979592,24.5,True,6.142744703070123,150,-0.051269916250118015,True,
6,28.103920368632732,TrialState.COMPLETE,8,36,8,1460,82.99666542425156,0.16458657807877164,54,-0.016786537904428838,0.5555555555555556,,27.0,5,-4.549259255340892,53,0.2641509433962264,26.5,False,0.05124664724635486,-0.0631030284596786,4.318839282173286,5,28.103920368632732,26.833333333333332,0.4472049689440994,5,True,-0.06186257699544162,-0.07135940611577898,-2.291133590525533,3,5.864354936987522,54,0.5185185185185185,27.0,True,1.0138528458238767,161,-0.07135940611577898,True,
7,20.565476234763867,TrialState.COMPLETE,12,34,10,1500,18.76905190770126,0.09119137177177272,45,-0.03454750860641108,0.5111111111111111,,22.5,5,-1.8750811242335,39,0.3333333333333333,19.5,False,0.16625081221827354,-0.03649471490073961,34.04194059128357,5,20.565476234763867,22.333333333333332,0.4701492537313433,5,True,-0.024715114350621126,-0.07603428019251579,-2.2192016254509954,3,44.80245792082384,50,0.54,25.0,True,15.911369482916287,134,-0.07603428019251579,True,
8,21.276619135965035,TrialState.COMPLETE,16,22,10,1460,54.77242536756159,0.1144477678035607,39,-0.01570218360191987,0.5128205128205128,,19.5,5,-2.530443849720325,37,0.35135135135135137,18.5,False,0.08915742124855819,-0.06150047649358686,10.665168302746121,5,21.276619135965035,21.0,0.47619047619047616,5,True,-0.02342548004439471,-0.053578748205102576,-2.2054857136438883,4,11.587875890053846,50,0.54,25.0,True,4.229841294551116,126,-0.06150047649358686,True,
9,22.150995282683358,TrialState.COMPLETE,8,22,8,1450,43.41697269738044,0.12901740465889966,56,-0.02311749845963728,0.5,,28.0,5,-3.4549336559929418,57,0.3684210526315789,28.5,False,0.13512591667002183,-0.04613541632423309,,5,22.150995282683358,29.0,0.4425287356321839,5,True,-0.036515747573448554,-0.05915713407198176,,5,26.49094680666257,61,0.45901639344262296,30.5,True,,174,-0.05915713407198176,True,
10,-1000000.0,TrialState.COMPLETE,12,30,7,1500,89.33848572352281,0.16132139409759638,52,-0.015167603256194557,0.5576923076923077,,26.0,5,-4.0273126706048386,47,0.3404255319148936,23.5,False,0.06698326969887414,-0.061443262303970514,2.7005514893954445,5,31.174014115154534,24.833333333333332,0.46308724832214765,4,True,-0.04097605898193535,-0.056304087668085395,-2.255943325945072,3,8.210869292545631,50,0.48,25.0,True,0.22230408172518623,149,-0.061443262303970514,False,['overfit']
11,48.91164799600589,TrialState.COMPLETE,12,22,10,1470,107.25350733898345,0.15285719082002824,47,-0.011733160274969736,0.5106382978723404,,23.5,5,6.352119681341534,46,0.4782608695652174,23.0,True,0.11298624409937963,-0.029063192139320175,8.408448208576376,5,48.91164799600589,23.5,0.5106382978723404,5,True,0.04389882279017043,-0.047576206699330756,5.8623468519946815,5,33.1293169676927,48,0.5416666666666666,24.0,True,7.135397530285529,141,-0.047576206699330756,True,
12,37.02693367745118,TrialState.COMPLETE,12,28,7,1470,100.76967696483315,0.17631208130886944,53,-0.01522835255814898,0.5471698113207547,,26.5,5,-3.893322437870262,47,0.3191489361702128,23.5,False,0.09056863441423646,-0.051159204846987355,3.617942386124471,5,37.02693367745118,25.0,0.46,5,True,-0.04223896517457637,-0.05984389481757641,-1.4801177034608852,3,14.204446505390658,50,0.5,25.0,True,1.0689123413317927,150,-0.05984389481757641,True,
13,-1000000.0,TrialState.COMPLETE,16,36,9,1440,39.9093452966997,0.11464958835419425,41,-0.021598367488721855,0.43902439024390244,,20.5,5,-3.4662779392312886,33,0.3333333333333333,16.5,False,0.1937092241845122,-0.014263158270667238,,5,60.083100224177514,19.666666666666668,0.4406779661016949,4,True,-0.04556819142808233,-0.07190215073408693,-1.7456584931380728,3,143.80623331506413,44,0.5227272727272727,22.0,True,-1.7456584931380728,118,-0.07190215073408693,False,['overfit']
14,-1000000.0,TrialState.COMPLETE,16,34,8,1480,16.262128811699718,0.085564851021249,44,-0.03691601007796263,0.4318181818181818,,22.0,5,-4.214819376238493,38,0.2894736842105263,19.0,False,0.1409149820898017,-0.03644035805537685,,5,15.857404913408287,22.0,0.42424242424242425,4,True,-0.0700212371886978,-0.08539734992708534,-2.7223411280794334,3,35.524905304763635,50,0.52,25.0,True,-2.7223411280794334,132,-0.08539734992708534,False,['overfit']
