strategy,stage2_avg_calmar,oos_calmar,oos_return,oos_mdd,oos_win_rate,oos_trades,oos_to_stage2_ratio,oos_pass_50pct_test,oos_calmar_above_5
breakout_52w,100.09285954741404,-5.425044376890653,-0.055611794837025275,-0.05820399264907509,0.38461538461538464,13,-0.05420011378854459,False,False
close_to_open,26.531255015160088,-0.23815106733469332,-0.0026516128365322578,-0.07328803735358053,0.34814814814814815,135,-0.008976245835284183,False,False
limit_up_chase,138.9495666346082,1.369726224225987,0.022085532944402297,-0.11380889244360462,0.42857142857142855,70,0.009857722175038644,False,False
macd_cross,87.84331081497095,54.158852475534935,0.11662583099690571,-0.019909530305628646,0.6111111111111112,36,0.6165392899365169,True,True
trend_followthrough,126.56271845447297,-4.704203059445372,-0.07241143773556014,-0.08344542754902541,0.3611111111111111,72,-0.03716894767188146,False,False
