trial_id,value,state,p_lookback_days,p_buffer_pct,p_entry_hhmm_min,a_fold1_test_calmar,a_fold1_test_trades,a_fold1_test_win_rate,a_fold1_monthly_trades,a_fold1_all_pass,a_fold2_test_return,a_fold2_test_mdd,a_fold2_overfit,a_fold2_gates_passed,a_fold3_test_calmar,a_fold3_test_trades,a_fold3_test_win_rate,a_fold3_monthly_trades,a_fold3_all_pass,a_avg_overfit,a_agg_trades,a_worst_mdd,a_valid,a_fold1_test_return,a_fold1_test_mdd,a_fold1_overfit,a_fold1_gates_passed,a_fold2_test_calmar,a_fold2_test_trades,a_fold2_test_win_rate,a_fold2_monthly_trades,a_fold2_all_pass,a_fold3_test_return,a_fold3_test_mdd,a_fold3_overfit,a_fold3_gates_passed,a_avg_calmar,a_avg_monthly_trades,a_agg_win_rate,a_agg_gates_passed,a_failed_aggregate_gates
0,-1000000.0,TrialState.COMPLETE,13,1.0,1430,146.49508401480875,105,0.5428571428571428,52.5,True,-0.14405283992115814,-0.15564452789924546,-1.9965802890540334,3,105.45252334860619,119,0.5210084033613446,59.5,True,19.292439664658076,266,-0.15564452789924546,False,0.24802936295961242,-0.017455730936368357,,5,-3.9550950321986558,42,0.35714285714285715,21.0,False,0.29688639377898185,-0.03929519632775141,40.58145961837018,5,82.6641707770721,44.333333333333336,0.5037593984962406,4,['mdd']
1,80.64889245593419,TrialState.COMPLETE,16,0.9,1480,99.93505480913085,88,0.5568181818181818,44.0,True,-0.11306789980397003,-0.12225357362711996,-2.2125700133993593,3,146.2788377961405,99,0.5858585858585859,49.5,True,30.289081592971,220,-0.12225357362711996,True,0.2851108860113598,-0.03208696717119582,,5,-4.267215237468753,33,0.3333333333333333,16.5,False,0.33770859570264844,-0.03590979814126029,62.79073319934136,5,80.64889245593419,36.666666666666664,0.5363636363636364,5,
2,85.05086540767083,TrialState.COMPLETE,5,0.8,1470,130.3351251189768,116,0.5689655172413793,58.0,True,-0.0754561995509817,-0.08432374131186664,-3.0581155516584695,4,129.35454209042783,136,0.5220588235294118,68.0,True,149.70079076206636,317,-0.08432374131186664,True,0.30825982440704824,-0.02807754295791283,408.0669514541223,5,-4.537070986392156,65,0.38461538461538464,32.5,False,0.31020062397888015,-0.03467717986631477,44.09353638373527,5,85.05086540767083,52.833333333333336,0.5110410094637224,5,
3,64.49420847383995,TrialState.COMPLETE,11,0.5,1470,94.52909777316472,102,0.5686274509803921,51.0,True,-0.10310849614572715,-0.11221830148663968,-4.615193352139998,3,103.2995316498382,119,0.5378151260504201,59.5,True,40.09950115536165,268,-0.11221830148663968,True,0.2544510406144591,-0.028174286192323292,,5,-4.346004001483092,47,0.3404255319148936,23.5,False,0.28265118033118286,-0.03676940218870122,84.8141956628633,5,64.49420847383995,44.666666666666664,0.5149253731343284,5,
4,57.91813465097107,TrialState.COMPLETE,4,0.9,1490,90.90767795509788,120,0.5333333333333333,60.0,True,-0.08120491370744365,-0.08983317813620612,-6.7008814960860805,4,87.36403821293938,146,0.4931506849315068,73.0,True,28.541412851133437,338,-0.08983317813620612,True,0.28630147613384493,-0.035519355836922395,,5,-4.517312215124037,72,0.375,36.0,False,0.26263077125983636,-0.03829394558348253,63.78370719835296,5,57.91813465097107,56.333333333333336,0.4822485207100592,5,
5,93.81016364366722,TrialState.COMPLETE,20,0.5,1490,131.9483053133114,90,0.5888888888888889,45.0,True,-0.09659761656418142,-0.10623841740239397,-1.0518392260957532,4,153.85359689699962,103,0.5728155339805825,51.5,True,18.059600862596934,226,-0.10623841740239397,True,0.2797619955473598,-0.02354950106715333,,5,-4.37141127930938,33,0.36363636363636365,16.5,False,0.3424227064351204,-0.035052595474944395,37.17104095128962,5,93.81016364366722,37.666666666666664,0.5486725663716814,5,
6,-1000000.0,TrialState.COMPLETE,14,0.9,1430,166.98291879391923,108,0.5370370370370371,54.0,True,-0.14437218290096354,-0.1559638708790511,-1.106874875647535,3,135.58422465262305,114,0.5526315789473685,57.0,True,19.51757841927847,265,-0.1559638708790511,False,0.2705669704624736,-0.017613447328844643,,5,-3.9526433347769454,43,0.37209302325581395,21.5,False,0.33995252667466813,-0.03923183095686478,40.14203171420447,5,99.53816670392177,44.166666666666664,0.5169811320754717,4,['mdd']
7,103.60982590825337,TrialState.COMPLETE,20,0.1,1440,94.8335725682428,113,0.504424778761062,56.5,True,-0.13265984328915548,-0.1423236482336305,-1.3392000098144363,3,220.0925046882197,118,0.5423728813559322,59.0,True,62.8903445172273,272,-0.1423236482336305,True,0.27222193706473363,-0.03132473466513511,,5,-4.096599531702355,41,0.34146341463414637,20.5,False,0.37172455082722866,-0.028735917412377267,127.11988904426903,5,103.60982590825337,45.333333333333336,0.4963235294117647,5,
8,83.01748442083809,TrialState.COMPLETE,12,0.30000000000000004,1480,108.73555489556571,108,0.5648148148148148,54.0,True,-0.09140273226993079,-0.10245806714929342,-2.772171148703135,3,144.66208912436784,122,0.5327868852459017,61.0,True,35.25856420521895,277,-0.10245806714929342,True,0.27704699588624115,-0.028120158598851787,,5,-4.345190757419294,47,0.3404255319148936,23.5,False,0.3408849604896509,-0.03696180465850001,73.28929955914104,5,83.01748442083809,46.166666666666664,0.5126353790613718,5,
9,44.337360008264056,TrialState.COMPLETE,3,0.5,1500,93.87152529773736,145,0.5448275862068965,72.5,True,-0.13697203107965694,-0.14480826310472533,-2.6675050251335146,3,43.25373489364958,160,0.49375,80.0,True,63.379698309720304,406,-0.14480826310472533,True,0.2965890034246177,-0.03650085100722527,,5,-4.113180166594792,101,0.3465346534653465,50.5,False,0.2571910746842103,-0.0746503598210858,129.42690164457412,5,44.337360008264056,67.66666666666667,0.4753694581280788,5,
