strategy,trial_id,p_min_prev_body_pct,p_max_day_decline_pct,p_entry_hhmm_start,p_entry_hhmm_end,p_gap_sl_limit_pct,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error,pass_stage1_v1,gates_passed_v2,pass_stage1_v2
closing_drift,122,2.0,-2.0,1480,1510,-5.0,4.290137237070588,0.1116209210439965,-0.1068530398637269,1.5382133232701634,0.418848167539267,191,0.209457922975794,-3.3062602263721974,-0.1031836702305162,-0.0667841300777793,0.6698686134316356,0.2745098039215686,51,-0.0369233165293356,-0.770665375877298,25.5,3,False,False,,False,3,False
closing_drift,123,2.75,-2.0,1390,1330,-2.5,,0.0,0.0,,0.0,0,0.0,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
closing_drift,124,1.5,-2.0,1480,1460,-1.0,,0.0,0.0,,0.0,0,0.0,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
closing_drift,125,2.5,-3.5,1390,1400,-3.0,,0.0,0.0,,0.0,0,0.0,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
closing_drift,126,2.0,-1.5,1300,1450,-2.5,5.305263809392785,0.1302509886743155,-0.1070476267778244,1.550133624698662,0.4585152838427948,229,0.2544012337669419,-2.7192703855904568,-0.0655850061446877,-0.0570467064268652,0.7663578026934533,0.3559322033898305,59,-0.0250985076687456,-0.5125608232292017,29.5,4,False,False,,False,4,False
closing_drift,127,3.0,-2.0,1450,1380,-1.5,,0.0,0.0,,0.0,0,0.0,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
closing_drift,128,1.0,-1.0,1300,1450,-5.0,-0.035964275463458,0.0025714904628242,-0.127238315954993,1.0072503609107928,0.3870967741935484,248,-0.0023087991223629,-1.7659329831918464,-0.0405841081157663,-0.0601661733536712,0.8344270045472291,0.3272727272727272,55,-0.0167957830380205,,27.5,3,False,False,,False,3,False
closing_drift,129,0.75,-2.0,1330,1470,-4.0,-0.2673721191959711,-0.0073782167773606,-0.1851266520427006,0.9791552511866024,0.4068965517241379,435,-0.0252593064087972,-3.37159762968812,-0.0952048491371419,-0.0712208461398051,0.7545578731031793,0.3684210526315789,114,-0.0405631104334215,,57.0,4,False,False,,False,4,False
closing_drift,130,0.5,-3.0,1390,1430,-3.5,-0.7732236383585999,-0.0320395615609553,-0.2073429243955785,0.920142212002546,0.3904382470119522,502,-0.0842959603002189,-2.152503373746011,-0.0402699282319326,-0.0636353284155775,0.8709069328555585,0.3706896551724138,116,-0.0219687947002806,,58.0,4,False,False,,False,4,False
closing_drift,131,2.25,-2.5,1360,1450,-3.0,2.651985467639968,0.0767082342845605,-0.118444419283725,1.288577154879866,0.444015444015444,259,0.1475909120179708,-1.818643100550611,-0.0403359610592083,-0.0544409974792299,0.844725636456013,0.35,60,-0.0155987639412746,-0.6857666162737468,30.0,4,False,False,,False,4,False
closing_drift,132,2.0,-3.0,1480,1350,-1.5,,0.0,0.0,,0.0,0,0.0,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
closing_drift,133,0.5,-1.0,1300,1440,-3.5,-1.2473818889358006,-0.0543313540492188,-0.1435833127256958,0.8485570908309071,0.3585526315789473,304,-0.0946757568454482,1.5922962820971016,0.0310400114748868,-0.0529965462438919,1.155418501309197,0.4117647058823529,68,0.0122913394867303,,34.0,4,False,False,,False,4,False
closing_drift,134,3.0,-4.5,1480,1340,-5.0,,0.0,0.0,,0.0,0,0.0,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
closing_drift,135,1.25,-3.5,1480,1330,-4.0,,0.0,0.0,,0.0,0,0.0,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
closing_drift,136,1.25,-4.0,1390,1360,-3.5,,0.0,0.0,,0.0,0,0.0,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
closing_drift,137,2.25,-3.0,1480,1440,-4.0,,0.0,0.0,,0.0,0,0.0,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
closing_drift,138,2.75,-4.5,1480,1380,-3.0,,0.0,0.0,,0.0,0,0.0,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
closing_drift,139,0.75,-5.0,1360,1510,-2.0,-0.4483775182022727,-0.0147331998719514,-0.2131296068779578,0.9627031234474216,0.403254972875226,553,-0.0493598040577082,-1.6067980582718933,-0.0397496289041525,-0.121616264603752,0.8717146756464309,0.4064516129032258,155,-0.0322547959605489,,77.5,4,False,False,,False,4,False
closing_drift,140,2.0,-3.5,1300,1510,-3.5,3.8488901736991754,0.1056184133003014,-0.1414278258765102,1.327960062594939,0.4428969359331476,359,0.244859861300051,-1.9017630294682413,-0.041804050097349,-0.081586850343152,0.8595471286961641,0.4018691588785046,107,-0.0251043257119975,-0.4941068577284069,53.5,4,False,False,,False,4,False
closing_drift,141,0.75,-3.0,1480,1520,-4.5,-0.009309699526149,0.0049321067608255,-0.190137937083848,1.0096518335422673,0.4087591240875912,411,-0.0008924798352794,-2.763054849396653,-0.1095993913760419,-0.1428865097429261,0.6933820169717207,0.358974358974359,117,-0.0729324311216151,,58.5,4,False,False,,False,4,False
closing_drift,142,2.75,-5.0,1360,1500,-2.0,3.37208456725982,0.0890403001271374,-0.112537938774266,1.3451139225324926,0.4579831932773109,238,0.1760162204766293,-2.428487265302695,-0.0457333630866535,-0.05400234571758,0.8217123124428636,0.3833333333333333,60,-0.0209751488503473,-0.7201738915095185,30.0,4,False,False,,False,4,False
closing_drift,143,3.0,-2.5,1300,1490,-2.5,8.877912366329202,0.1551860954388152,-0.0893755813983244,1.824880929413339,0.4809523809523809,210,0.3423124167588249,-1.6314631565323,-0.0349945872729607,-0.0519529583970876,0.8591848126809557,0.3469387755102041,49,-0.0132667372896274,-0.1837665308254072,24.5,3,False,False,,False,3,False
closing_drift,144,0.5,-2.0,1480,1480,-4.5,,0.0,0.0,,0.0,0,0.0,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
