strategy,trial_id,p_max_prev_return_pct,p_vol_mult,p_vol_lookback_days,p_entry_hhmm_min,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error,pass_stage1_v1,gates_passed_v2,pass_stage1_v2
post_drop_rebound,0,-3.0,1.75,3,1470,0.8998935305472016,0.0260976410336662,-0.0491014386074305,1.1816779854911776,0.5,32,0.0220295727117454,487.7784204703912,0.2451578674095378,-0.00298844357035,22.312104110168534,0.75,12,0.1452208026045989,542.0401457645618,6.0,4,True,False,,True,4,False
post_drop_rebound,1,-6.5,2.25,5,1440,-0.1843738182051561,-0.0045413466732466,-0.0228856324747425,0.9106337775341036,0.6666666666666666,3,-0.0021287299031275,22410.33902569229,0.1665827430461294,-2.999314995319611e-05,inf,1.0,2,0.0806094181051526,,1.0,2,True,False,,False,2,False
post_drop_rebound,2,-3.0,3.5,4,1490,-0.5912672326088155,-0.019271055660809,-0.0159634870601391,0.7084539368920009,0.4,5,-0.0047679866379967,2122.3308130480336,0.1294501621539982,-2.998816690132022e-05,inf,1.0,1,0.0093476146291224,,0.5,2,True,False,,False,2,False
post_drop_rebound,3,-8.0,1.5,4,1460,0.6487041363244097,0.0176267353714159,-0.0170686534491676,1.3324203602838518,0.6666666666666666,3,0.0055649515130549,16419.42185462524,0.2176211739428255,-0.0001012858315125,31.842397535925905,0.8571428571428571,7,0.1591632895105237,25311.11015825876,3.5,4,True,False,,True,4,False
post_drop_rebound,4,-6.5,3.5,3,1460,,0.0,0.0,,0.0,0,0.0,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
post_drop_rebound,5,-3.0,3.5,9,1460,3.3584020071520686,0.0499148753248644,-0.0070528811510264,2.2100622811166137,0.5,6,0.0118678887416652,4205.30255735277,0.1296508370651005,-2.9863041000068187e-05,inf,1.0,1,0.0179991414557498,1252.1736672373163,0.5,3,True,False,,True,3,False
post_drop_rebound,6,-4.5,3.75,7,1430,400.4630474349981,0.0707713738784339,-2.999467200487852e-05,inf,1.0,1,0.0060356176512483,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
post_drop_rebound,7,-7.0,3.0,8,1470,725.1140163852299,0.0709285452788414,-2.9994135300070048e-05,inf,1.0,1,0.0109023982972999,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
post_drop_rebound,8,-7.0,2.25,8,1440,-0.2027741649243628,-0.0051054042218137,-0.0231225950539425,0.901277657176072,0.6666666666666666,3,-0.0023656924823276,112.33624892306148,0.1396873349312215,-0.0045184313142815,14.329024580919002,0.6666666666666666,3,0.0638581008785039,,1.5,2,True,False,,False,2,False
post_drop_rebound,9,-7.5,3.0,4,1480,725.1140163852299,0.0709285452788414,-2.9994135300070048e-05,inf,1.0,1,0.0109023982972999,15130.508899018749,0.1297990442184294,-2.999490202128887e-05,inf,1.0,1,0.0580504818935736,20.86638591603281,0.5,3,True,False,,True,3,False
post_drop_rebound,10,-5.5,3.75,7,1430,,0.0,0.0,,0.0,0,0.0,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
post_drop_rebound,11,-4.5,3.5,4,1490,725.1140163852299,0.0709285452788414,-2.9994135300070048e-05,inf,1.0,1,0.0109023982972999,2122.3308130480336,0.1294501621539982,-2.998816690132022e-05,inf,1.0,1,0.0093476146291224,2.926892550813012,0.5,3,True,False,,True,3,False
post_drop_rebound,12,-7.5,3.5,7,1480,,0.0,0.0,,0.0,0,0.0,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
post_drop_rebound,13,-3.5,2.25,4,1430,1.1682858881611786,0.0277816461797626,-0.027069983772636,1.2560944360743305,0.5714285714285714,14,0.0158151579638508,160.5414875240246,0.1640758322806773,-0.004333091469049,18.610352205019144,0.5,4,0.0828843953862861,137.41626869833084,2.0,3,True,False,,True,3,False
post_drop_rebound,14,-3.0,2.25,7,1440,1.5694705168088878,0.0379897264447717,-0.0375964732579805,1.415528606064989,0.5,16,0.0293145896710231,12361.722722012451,0.1701206082991065,-5.3506018275022506e-05,inf,1.0,4,0.0795609267143087,7876.365047714829,2.0,3,True,False,,True,3,False
