strategy,trial_id,p_rsi_period,p_oversold_threshold,p_entry_window_end_bar,p_take_profit_pct,p_stop_loss_pct,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error,pass_stage1_v1,gates_passed_v2,pass_stage1_v2
rsi_oversold,0,9,15.0,180,1.75,-2.25,-1.3664697767937506,-0.5620740898548037,-0.5583972734025604,0.6697622328286238,0.5255102040816326,2352,-0.5159808550348405,-2.279401869276201,-0.9467700841847032,-0.4274563615123463,0.4736773083242459,0.4506641366223909,1054,-0.4244094219471078,,527.0,3,False,False,,False,3,False
rsi_oversold,1,11,17.5,360,3.75,-1.0,-1.2806105774773753,-0.718970968308004,-0.6937678499245796,0.6277783980438111,0.2203059805285118,3595,-0.6688979451813719,-1.8797662344155213,-0.9870867530254692,-0.5282229085907957,0.5228191569669931,0.1864508393285371,1668,-0.5261353387374077,,834.0,2,False,False,,False,2,False
rsi_oversold,2,9,30.0,60,1.0,-2.75,-1.3724810933372558,-0.7290946799178292,-0.6069026303516573,0.5563641100889362,0.6952157912345266,2989,-0.5941896969814071,-2.5091750561976025,-0.8797946051164249,-0.381763950295088,0.4417929114579202,0.6207243460764588,994,-0.379801229801767,,497.0,3,False,False,,False,3,False
rsi_oversold,3,13,22.5,300,3.25,-3.0,-0.2592450211674175,-0.0186468605534369,-0.2018389190253639,0.9917127592722438,0.5168995042812078,2219,-0.0267219680953487,-2.382763126773769,-0.470289254663994,-0.3867409156317266,0.6512975592675672,0.4381139489194499,1018,-0.3186922099752124,,509.0,3,False,False,,False,3,False
rsi_oversold,4,13,35.0,240,1.75,-1.25,-1.1548308513112164,-1.527487492547407,-0.8433688279697209,0.4920641033978903,0.3637296584078581,6821,-0.840914235216563,-1.4307952381952431,-2.00473924377227,-0.6986662652393797,0.3680909029621673,0.312626603646185,2962,-0.698579667466781,,1481.0,2,False,False,,False,2,False
rsi_oversold,5,15,15.0,120,3.75,-1.5,-1.3393066928001855,-0.307931976051163,-0.4495101833848859,0.6510748200421528,0.2788461538461538,624,-0.3714552927476954,-3.5267292407666,-0.4192573819416038,-0.2324916858529888,0.5909408731089509,0.28125,288,-0.2278114027130452,,144.0,2,False,False,,False,2,False
rsi_oversold,6,17,25.0,120,1.75,-1.75,-1.3563252947256452,-0.5626537467352588,-0.591461029493469,0.6410111788042884,0.4760806916426513,1735,-0.5581189358873786,-2.281434915220935,-1.0624983911781398,-0.4274610894852226,0.3963986543485971,0.4235294117647059,765,-0.4274302883722414,,382.5,3,False,False,,False,3,False
rsi_oversold,7,9,17.5,240,1.25,-1.75,-1.236580359610623,-1.0783377589692191,-0.7591597054384405,0.5109346714417646,0.5194037522487792,3891,-0.755264395129915,-1.746214819937748,-1.4156757133088544,-0.5705612295702095,0.3957442289211229,0.4619952494061757,1684,-0.5705612295702096,,842.0,3,False,False,,False,3,False
rsi_oversold,8,17,25.0,60,3.75,-1.25,-1.3420560823896528,-0.2844984059417422,-0.4454318423833152,0.7195381615296625,0.2731137088204038,941,-0.3680912857131292,-2.797454515286342,-0.6568649037485335,-0.322012670216553,0.4439067723553776,0.217877094972067,358,-0.2942191001143522,,179.0,2,False,False,,False,2,False
rsi_oversold,9,9,30.0,90,3.0,-2.0,-1.346201169765226,-0.4466987162982033,-0.4985719780096792,0.7513077562223632,0.4070186946539849,3049,-0.4290954667942389,-2.2263290299062333,-0.9521311164503982,-0.4372894497771129,0.4789592339089006,0.3158371040723982,1105,-0.421755751458739,,552.5,2,False,False,,False,2,False
rsi_oversold,10,17,22.5,90,1.0,-2.25,-1.4212864554274112,-0.5199635195690563,-0.522982861312668,0.5425768700257385,0.6663793103448276,1160,-0.4960793271865146,-2.9464412102736675,-0.7150329697237937,-0.308273803172357,0.4212115394454023,0.5936794582392777,443,-0.302532000693692,,221.5,3,False,False,,False,3,False
rsi_oversold,11,15,17.5,150,1.25,-1.5,-1.3318262876138438,-0.6537112569129285,-0.6580673512401773,0.4676888005310989,0.4667760459392945,1219,-0.6513814208261308,-2.070619925485349,-1.236619155726042,-0.4763277163692539,0.3024324053036294,0.4128113879003559,562,-0.476327716369254,,281.0,3,False,False,,False,3,False
rsi_oversold,12,15,32.5,360,2.25,-2.5,-1.347291966500178,-0.3744980000073516,-0.4408962682813794,0.8162556486250883,0.5287016506528701,4059,-0.3651064385025222,-1.9110195084054016,-0.7607012699369827,-0.5160791755754014,0.5725313128155222,0.4544016868740116,1897,-0.4760039868936847,,948.5,3,False,False,,False,3,False
rsi_oversold,13,17,27.5,150,3.5,-2.0,-1.3302620386937931,-0.3466315411619017,-0.4420856334911678,0.7690247996874533,0.3755912961210974,2114,-0.3604525880358528,-2.3611182524437844,-0.7278555235078694,-0.4043355666818595,0.53325697643689,0.316008316008316,962,-0.372850409471561,,481.0,2,False,False,,False,2,False
rsi_oversold,14,9,20.0,300,3.75,-2.25,-1.3006057655742995,-0.2427224916971767,-0.3437725111034915,0.8582072912188593,0.4014209591474245,2815,-0.2581824579815179,-2.1338154192654883,-0.7114979673399703,-0.4544365844108348,0.5655065387189191,0.3399846508058327,1303,-0.4097361119789473,,651.5,2,False,False,,False,2,False
rsi_oversold,15,11,32.5,240,2.0,-1.0,-1.116073361104596,-1.7286656253410948,-0.8833055685173994,0.4843994076092064,0.2806176783812567,7512,-0.8829718982563144,-1.2767885608035292,-2.500466813922004,-0.7831834098777206,0.2855784663933308,0.2408690176322418,3176,-0.7825097381076757,,1588.0,2,False,False,,False,2,False
rsi_oversold,16,13,27.5,60,1.75,-3.0,-1.3621742917456003,-0.3168222287757059,-0.4111193342181948,0.7446242327667554,0.6293206197854588,1678,-0.338844804054135,-2.631361767172638,-0.6017905512325589,-0.3512381262302182,0.4908572661401551,0.5400340715502555,587,-0.3223095750666849,,293.5,3,False,False,,False,3,False
rsi_oversold,17,17,30.0,180,1.25,-2.25,-1.3115326490247508,-0.7825528938062545,-0.6552647764345456,0.59108262494201,0.5940925700365408,3284,-0.6279426721964565,-1.915976455896272,-1.2745470451755363,-0.5177753412421979,0.3761704016945669,0.523312456506611,1437,-0.5175782514954064,,718.5,3,False,False,,False,3,False
rsi_oversold,18,17,22.5,360,2.75,-1.5,-1.4081421566906474,-0.4633048748941047,-0.5396658642385285,0.7297446539653992,0.3567588325652842,2604,-0.5127931510088652,-2.339165260869314,-0.4964228955223723,-0.4099449973962739,0.6377217022067082,0.3198412698412698,1260,-0.3820835337703909,,630.0,2,False,False,,False,2,False
rsi_oversold,19,21,20.0,180,1.5,-2.25,-1.3976934956581155,-0.3177387484027724,-0.4311042391381848,0.6620455757460544,0.5931952662721893,676,-0.3718690026780629,-2.477100120149987,-0.8872666488682882,-0.3868869450402376,0.3397436196609345,0.4680232558139535,344,-0.3807947897989673,,172.0,3,False,False,,False,3,False
rsi_oversold,20,15,30.0,330,2.5,-1.75,-1.337653824037634,-0.6503711223331256,-0.596573487695383,0.7127414038628613,0.4052451539338654,4385,-0.5534093773807545,-1.9164435576173928,-0.8979049646932334,-0.5153691621714507,0.5537125301689555,0.3577981651376147,1962,-0.4846551363471089,,981.0,3,False,False,,False,3,False
rsi_oversold,21,13,20.0,300,2.75,-2.75,-0.6930289414277246,-0.0547151534487197,-0.2069569584309264,0.9642432892214112,0.5263417035942886,2031,-0.0750562096366787,-2.560310313626382,-0.4569680548985029,-0.3529383029980105,0.6634653918476894,0.4535974973931178,959,-0.2972775768227722,,479.5,3,False,False,,False,3,False
rsi_oversold,22,7,17.5,120,3.5,-2.5,-1.1653438176219777,-0.1856117980231074,-0.3202807826497022,0.8688349687165411,0.4375,2240,-0.2097828523924921,-2.7165604593834667,-0.5559134166797924,-0.3231552699281777,0.6262682202417498,0.3596673596673597,962,-0.2717203662595642,,481.0,3,False,False,,False,3,False
rsi_oversold,23,19,17.5,240,2.5,-1.25,-1.3428100489061994,-0.3875458700811884,-0.5304998057646563,0.6469262492210234,0.3244949494949495,792,-0.4663249999221305,-2.744211589801469,-0.7023847946874425,-0.3415430680359327,0.4896313010995333,0.2587412587412587,429,-0.341325851123244,,214.5,2,False,False,,False,2,False
rsi_oversold,24,15,35.0,60,3.5,-2.75,-0.2264235531821851,-0.0162986347953668,-0.2110030389435188,0.9912763198816676,0.4889892715979672,1771,-0.0243699243402562,-2.480302176529927,-0.5137789220935094,-0.3594388445842528,0.5805117540994598,0.3928571428571428,672,-0.2846168640685301,,336.0,3,False,False,,False,3,False
rsi_oversold,25,15,27.5,90,2.0,-1.5,-1.368804167859297,-0.5707029559239639,-0.5790405983511498,0.6533780644032575,0.41553480475382,2356,-0.5474146498116077,-2.265595428007288,-1.101530691187941,-0.4308790733399703,0.4077117352813436,0.3484013230429989,907,-0.4308790733399702,,453.5,2,False,False,,False,2,False
rsi_oversold,26,11,32.5,60,3.75,-2.0,-1.2619081089060589,-0.2562384789073889,-0.3872480797660488,0.8202204512013047,0.3811002661934339,2254,-0.2868283826197201,-2.676424557760147,-0.7159274454564227,-0.346817226439239,0.5171793775972932,0.2967581047381546,802,-0.3278234912353074,,401.0,2,False,False,,False,2,False
rsi_oversold,27,11,35.0,90,3.5,-2.0,-1.3549869728179338,-0.3662032065504922,-0.4403959280310642,0.7827593973965592,0.3864418444597384,2906,-0.3672495575549985,-2.182289019725772,-1.003668822365657,-0.4481271428648866,0.4510437302760332,0.2944839857651246,1124,-0.4373769909693363,,562.0,2,False,False,,False,2,False
rsi_oversold,28,13,20.0,210,4.0,-2.5,-0.6835598540875472,-0.0623799032881089,-0.2394990958778078,0.949882105290362,0.4157232704402516,1590,-0.0861607033534302,-2.690827584950969,-0.4723521396104725,-0.3311444468144383,0.6449628751492583,0.3455233291298865,793,-0.2841559661828123,,396.5,2,False,False,,False,2,False
rsi_oversold,29,7,27.5,270,1.0,-2.75,-1.327094636598519,-0.9181793260054484,-0.6644486907651629,0.581344694582722,0.680672268907563,5950,-0.6590787853170437,-1.6911322881895792,-1.3919876562188418,-0.5897115535798886,0.3835164879749453,0.6089108910891089,2424,-0.5896605383577427,,1212.0,3,False,False,,False,3,False
rsi_oversold,30,17,25.0,150,1.0,-2.25,-1.327225471735758,-0.7527251002711427,-0.6574311339774952,0.5031675061625633,0.6402195608782435,2004,-0.6459181798662212,-1.9981246036712283,-1.213633727873783,-0.4949900313930755,0.3103728034560886,0.5499438832772167,891,-0.4937726925321248,,445.5,3,False,False,,False,3,False
rsi_oversold,31,9,17.5,270,1.25,-1.0,-1.0706082970769395,-1.8600492247115004,-0.9290328755015078,0.3939756019315463,0.3451825951825952,5148,-0.9282260773761708,-1.344392894959805,-2.167408346395956,-0.7437410312664119,0.3139617336676628,0.3274616079494128,2214,-0.7437410312664118,,1107.0,2,False,False,,False,2,False
rsi_oversold,32,11,20.0,360,2.75,-1.0,-1.22721473935,-0.9606860580234622,-0.7668256450295093,0.5905059341971804,0.2591257323118522,4438,-0.7599361712576091,-1.6397692740821164,-1.2213677135557304,-0.60860718302301,0.4827270512484159,0.2221667498751872,2003,-0.6075228343332599,,1001.5,2,False,False,,False,2,False
