strategy,trial_id,p_chase_threshold_pct,p_limit_proximity_pct,p_vol_lookback_bars,p_volume_mult,p_entry_window_end_bar,p_take_profit_pct,p_stop_loss_pct,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error,pass_stage1_v1,gates_passed_v2,pass_stage1_v2
limit_up_chase,0,18.0,24.5,10,8.5,180,3.5,-3.5,-0.2940167651686717,-0.0076548041054857,-0.0082035898166643,0.8579821222673486,0.5,2,-0.0012162959147893,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
limit_up_chase,1,10.0,24.5,30,3.5,240,2.0,-5.0,1.759293202587464,0.052841714590715,-0.0839794889618485,1.163997341701255,0.7302631578947368,152,0.071914386071997,-4.7486345479691945,-0.1741456889651237,-0.071962470520241,0.6700225658389274,0.7160493827160493,81,-0.0611047650063986,-2.699171770222942,40.5,4,False,False,,False,4,False
limit_up_chase,2,9.0,25.5,15,7.0,60,6.0,-3.5,2.242102906655883,0.0563986624235612,-0.0161137253607997,2.1225756197675394,0.6,5,0.0180474080995309,-6.340191595704399,-0.1843478316520919,-0.0159938722763751,0.0,0.0,2,-0.0159938722763751,-2.827787956067036,1.0,1,False,False,,False,1,False
limit_up_chase,3,19.0,29.0,30,6.0,150,5.5,-3.0,1.581194382898062,0.0389000491845147,-0.0168799275101883,1.7777823044789849,0.5,4,0.0133632616314109,23681.60220484454,0.178026964912114,-2.999162304979213e-05,inf,1.0,3,0.0842861135420873,14977.03410850737,1.5,3,True,False,,True,3,False
limit_up_chase,4,20.0,24.0,15,8.5,240,4.5,-3.0,559.6898455954571,0.0708712021400572,-2.9984062687605615e-05,inf,1.0,1,0.008422572313425,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
limit_up_chase,5,10.0,25.5,20,3.5,90,5.0,-4.5,14.16778859044996,0.2122323851374356,-0.0359105038017404,2.387984987473387,0.7222222222222222,54,0.2303273928985627,-1.014731571615619,-0.0284438444419752,-0.0787355536862249,0.9192184994457808,0.4516129032258064,31,-0.0124777809509724,-0.071622438825747,15.5,4,False,False,,False,4,False
limit_up_chase,6,13.0,26.5,30,5.0,60,7.5,-1.5,-1.9641225732998888,-0.1407286961542838,-0.0206115368679639,0.0,0.0,4,-0.020611536867964,47.59326687100633,0.1114685934067468,-0.0078785107852292,6.960227875195497,0.3333333333333333,3,0.0491883443827598,,1.5,1,True,False,,False,1,False
limit_up_chase,7,16.0,24.5,25,3.5,300,4.0,-2.5,-0.5906617487996613,-0.0213821916676049,-0.0718668139054682,0.9090430235485776,0.4181818181818181,55,-0.0216230603999908,3.5512631916737405,0.0503848117793615,-0.0315672292919462,1.2131483494379531,0.4074074074074074,27,0.0161513691003261,,13.5,3,True,False,,True,3,False
limit_up_chase,8,17.0,25.5,10,3.0,150,8.0,-3.0,3.051463457085863,0.0796682984197264,-0.0580870797649471,1.5922686467616705,0.4444444444444444,27,0.085714620873555,26.48486689914921,0.1305802754081424,-0.0260992808003892,1.9969561174869328,0.3157894736842105,19,0.0824597230784802,8.679398351518246,9.5,3,True,False,,True,3,False
limit_up_chase,9,9.0,25.5,10,6.0,180,5.5,-2.5,5.831338798279199,0.1107410682134805,-0.0477422230320824,1.584982587526088,0.4545454545454545,66,0.1317665299039752,4.726777500506232,0.0883788997330614,-0.039174676670157,1.331292724845295,0.4285714285714285,28,0.0259487163744887,0.810581868764182,14.0,4,True,False,,True,4,False
limit_up_chase,10,10.0,26.5,20,4.5,180,7.5,-4.5,24.389582041251213,0.1919993011881329,-0.0328475951718273,1.9041993003139657,0.5625,80,0.3452026234277463,5.271894351797911,0.0718574029275456,-0.0625676763545182,1.2372878618836043,0.4,40,0.0439234744407455,0.2161535340327405,20.0,4,True,False,,True,4,False
limit_up_chase,11,17.0,29.0,15,7.0,150,3.0,-1.5,1.6216716663793964,0.0299760665490656,-0.0082924667408268,1.8190803688528896,0.3333333333333333,3,0.0067547397070411,90.05619537931379,0.1300952012466663,-0.0050504613247824,11.9098504731202,0.6666666666666666,3,0.0581587880876606,55.53294001884892,1.5,3,True,False,,True,3,False
limit_up_chase,12,14.0,26.0,30,4.5,210,8.0,-5.0,0.5516548673086392,0.017668643081758,-0.0607655003100322,1.078583292021351,0.45,40,0.0167556608272843,42.00930744584374,0.2013647252801387,-0.0259276363956959,3.4678472327152785,0.6153846153846154,13,0.1175089735601502,76.15143078641673,6.5,4,True,False,,True,4,False
