strategy,trial_id,p_opening_window_min,p_breakout_buffer_pct,p_entry_end_bar,p_take_profit_pct,p_stop_loss_pct,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error
orb,81,35,0.15000000000000002,210,3.0,-2.0,-1.4231487041835778,-0.18890712787913166,-0.35543201710898803,0.8438568930982703,0.4198250728862974,1715,-0.2989931623800268,-2.8804488999745352,-0.5390136821896243,-0.30323858052736996,0.588947108261396,0.3522012578616352,477,-0.2678164247658723,,238.5,3,False,False,
orb,82,45,0.2,240,1.0,-4.0,-1.5169049076287477,-0.28867705662050325,-0.41723960443086905,0.7350311005444888,0.7750252780586451,1978,-0.3965274610177584,-3.0223346851242865,-0.46960723603281557,-0.28340289771011656,0.5740082945954056,0.7278688524590164,610,-0.2538243206816768,,305.0,3,False,False,
orb,83,60,0.30000000000000004,240,3.0,-4.0,3.522338344688032,0.1311933895713569,-0.15280687755869626,1.179001488131346,0.6545643153526971,964,0.24237829968988622,-2.751656258326438,-0.2109463637484764,-0.22719810532245263,0.7532336074516738,0.5433333333333333,300,-0.13754442358903307,-0.7812015738000172,150.0,3,False,False,
orb,84,10,0.25,240,2.0,-1.5,-1.184155160158902,-0.8477431722242382,-0.8145520006414567,0.6209140658840062,0.4034357105674128,3842,-0.8142127696920707,-1.5229308582215062,-1.41333228588563,-0.6560656979726023,0.4044367203062485,0.33706965572457964,1249,-0.655224678457136,,624.5,2,False,False,
orb,85,30,0.1,210,4.5,-2.0,-0.8711248935982222,-0.08795046717645509,-0.31543676867366144,0.9231954003411228,0.35709739019732656,1571,-0.14948938220740582,-2.593253767406734,-0.5237399973164691,-0.34646198179786963,0.5600734108956031,0.2709251101321586,454,-0.29172043113414337,,227.0,2,False,False,
orb,86,40,0.4,60,1.5,-4.0,-1.4716331434499728,-0.18197430712165055,-0.2867333704120612,0.7182906213672994,0.6997518610421837,403,-0.24136663827964366,-4.371597760681454,-0.24489157913698803,-0.13266482326421827,0.6172360922472823,0.6545454545454545,110,-0.12260520956123422,,55.0,4,False,False,
orb,87,20,0.4,60,3.5,-2.0,-1.5105301418793784,-0.14766666601975045,-0.27451413205831227,0.8522356588281776,0.4004474272930649,894,-0.23655031763491507,-2.7789480060643004,-0.5139327409840811,-0.3192290246564549,0.5024742718089789,0.31417624521072796,261,-0.28031879817410055,,130.5,2,False,False,
orb,88,50,0.1,150,2.0,-4.0,1.0686517824153512,0.0617667165986496,-0.18948902231361475,1.0830010238578975,0.7144120247568524,1131,0.09738731730589212,-3.034288725113044,-0.41104280476111676,-0.26759313579939864,0.5791051536426451,0.622478386167147,347,-0.2227453242042483,-2.8393614973953336,173.5,3,False,False,
orb,89,30,0.25,240,1.0,-3.0,-1.3433557543189678,-0.5074409235340819,-0.634542562451738,0.6353836284582315,0.7041884816753927,2674,-0.6187397062268194,-2.2376593536343177,-0.9021413465741943,-0.435699045904852,0.4011815730223501,0.6520584329349269,753,-0.4264639648731098,,376.5,3,False,False,
orb,90,25,0.5,90,1.5,-3.0,-1.4208286353578181,-0.19292419369197777,-0.3502749632501219,0.8157353948303199,0.6702214930270713,1219,-0.29318892563963916,-2.671855147449389,-0.6171685153451123,-0.3463431150877047,0.44343763274470094,0.603030303030303,330,-0.3238626525788526,,165.0,3,False,False,
orb,91,50,0.30000000000000004,180,2.0,-3.5,-0.6027327392794787,-0.029958859151349295,-0.1865469710192291,0.9703751340360749,0.6672504378283712,1142,-0.05834070523584933,-2.8162074676699884,-0.5409619925537725,-0.3126198183382969,0.510345215346279,0.5664739884393064,346,-0.2740169580383024,,173.0,3,False,False,
orb,92,20,0.1,150,1.0,-3.5,-1.5007647311232728,-0.376654493443019,-0.45381476136529203,0.7273017524609446,0.7585681645087585,2626,-0.43781561241071876,-2.046700555117285,-0.9638718509601093,-0.4823922966712734,0.3275547221869725,0.6653944020356234,786,-0.48239229667127337,,393.0,3,False,False,
orb,93,35,0.30000000000000004,240,2.5,-3.0,-1.1763298382244822,-0.12409922874717683,-0.3012335551110925,0.8912225954110566,0.5681669928245271,1533,-0.19787030991054355,-2.7891450363482853,-0.5616798292923479,-0.32299841573793375,0.5576065092811141,0.4822222222222222,450,-0.2942981316787484,,225.0,3,False,False,
orb,94,20,0.05,150,1.0,-1.0,-1.017280149954561,-1.8465803817308362,-0.9826997560607156,0.3541332436600707,0.40133500208594075,4794,-0.9826997560607157,-1.2983824741606573,-2.251247980299542,-0.7701441126793472,0.24413985756612633,0.36146272855133615,1422,-0.770077639332416,,711.0,3,False,False,
orb,95,45,0.15000000000000002,90,4.5,-3.0,0.842828331475859,0.058280261632512195,-0.23012867109105503,1.0879322233483333,0.4824961948249619,657,0.09345323481212775,-2.9583888492892565,-0.34014548023352065,-0.25091673252418956,0.6071390980690865,0.35121951219512193,205,-0.18492525066675136,-3.510072856840116,102.5,3,False,False,
orb,96,30,0.15000000000000002,90,1.0,-1.5,-1.1559642347015706,-0.9815814220055417,-0.8429019234327203,0.4262608951276,0.5245398773006135,1956,-0.8422000090387208,-2.1324283774627366,-1.1578376991562873,-0.46088059162615935,0.31487678056197654,0.48526522593320237,509,-0.45806339038190547,,254.5,3,False,False,
orb,97,25,0.30000000000000004,120,3.0,-1.0,-1.2733584505166013,-0.5967672876465872,-0.7208843122232621,0.5997508666009909,0.25212606303151575,1999,-0.7163741983591119,-2.0235193621047403,-0.9786147497104707,-0.48772804982654977,0.4209813482323858,0.2063758389261745,596,-0.480051192928725,,298.0,2,False,False,
orb,98,15,0.2,120,5.0,-2.5,0.5218878080144265,0.04078904324415054,-0.23868429679789505,1.04454412587267,0.4132231404958678,1331,0.06094990516767629,-2.4066718832799032,-0.6285164630302126,-0.38990840019106865,0.48130148414433693,0.2621145374449339,454,-0.3431048846155511,-4.611473666028573,227.0,2,False,False,
orb,99,60,0.4,120,1.0,-4.0,-0.9707000374949204,-0.04483132131388309,-0.1636110863381559,0.9361232472006764,0.8037166085946573,861,-0.08346909211927489,-3.4688140240022913,-0.4954199761182986,-0.2388357389314097,0.4333484798216512,0.7242647058823529,272,-0.23344951045402984,,136.0,3,False,False,
