strategy,trial_id,p_gap_threshold_pct,p_reversal_threshold_pct,p_entry_window_end_bar,p_take_profit_pct,p_stop_loss_pct,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error
gap_down_reversal,0,-4.5,0.3,105,3.5,-3.5,7.945751779652432,0.11216103423857471,-0.07027060551940845,1.3140417927742196,0.6273291925465838,161,0.2505395689987011,-2.549604782402559,-0.12228735731600515,-0.14162972139026364,0.8185694427993795,0.4685714285714286,175,-0.06532519975150741,-0.32087646998130687,87.5,4,False,False,
gap_down_reversal,1,-3.5,0.8999999999999999,105,2.0,-4.5,-0.09372527249177837,-0.0001952612802330312,-0.2147137711716818,0.9996577325618987,0.7097791798107256,317,-0.010193044648541982,-2.7121116020986205,-0.09898556274323235,-0.11039433103108748,0.8777395847737764,0.6613418530351438,313,-0.052241443502376694,,156.5,4,False,False,
gap_down_reversal,2,-2.0,0.3,30,2.0,-3.5,-1.0569909834616484,-0.08129063855244545,-0.261714209560777,0.8837184827124157,0.6451612903225806,527,-0.15058038289869757,-3.5728858408422477,-0.24219517498111381,-0.16323485225952228,0.7226909026627603,0.6051948051948052,385,-0.12363616113138431,,192.5,3,False,False,
gap_down_reversal,3,-3.5,2.6999999999999997,90,1.5,-3.5,-0.3627335513507224,-0.026324333159635525,-0.2782524939916969,0.947672219968307,0.7391304347826086,276,-0.05220802926495771,-3.546947534102178,-0.3697648522280661,-0.19878200088829967,0.5623233444044028,0.5955555555555555,225,-0.16816510677173202,,112.5,3,False,False,
gap_down_reversal,4,-1.0,2.0999999999999996,45,5.0,-3.0,3.624952866655658,0.10812135729541922,-0.14146227572710246,1.1970564408564905,0.448512585812357,437,0.23197904365522048,-2.7379229946635837,-0.44537078401262076,-0.3090446428524975,0.5060813716764708,0.2875536480686695,233,-0.24590938443019272,-0.7552989226007679,116.5,2,False,False,
gap_down_reversal,5,-5.0,0.8999999999999999,105,4.5,-2.5,11.7131044362794,0.17216951395330035,-0.08077850462399394,1.5466397708038107,0.5140845070422535,142,0.39874194659118056,0.2485571311621544,0.011905485670364768,-0.10685009970610204,1.0208188455857743,0.36363636363636365,154,0.0039603952859035285,0.02122043156998497,77.0,4,False,False,
gap_down_reversal,6,-3.0,0.8999999999999999,45,4.0,-4.5,4.042984503102282,0.1599062242607447,-0.1988571555148491,1.4458559026555915,0.5822222222222222,225,0.3462701442815941,-1.492593656702385,-0.05979858057057162,-0.15295956888089376,0.9056162694204973,0.5240384615384616,208,-0.038327054449300735,-0.36918114713451927,104.0,3,False,False,
gap_down_reversal,7,-4.5,2.0999999999999996,30,4.0,-2.5,6.751206358168321,0.1496677807408458,-0.08224032108543708,1.6686285427469725,0.5833333333333334,84,0.24927252584007165,-3.5426036750883183,-0.3544991470453618,-0.18530198644784027,0.4544055502888994,0.3229166666666667,96,-0.1488032722521655,-0.5247363933413327,48.0,2,False,False,
gap_down_reversal,8,-3.0,0.3,105,5.0,-4.5,6.30146335722178,0.13438496643257747,-0.12235201806351148,1.328079889351605,0.555984555984556,259,0.3338097086746137,-2.695031621225742,-0.15911575372588269,-0.1790769974007962,0.7736027224054978,0.45147679324894513,237,-0.09459155321619972,-0.42768345516714085,118.5,3,False,False,
gap_down_reversal,9,-2.0,0.6,90,3.5,-2.5,-0.6275213836960861,-0.04826851607512883,-0.3078515159066714,0.9373146673740246,0.46204620462046203,606,-0.1025351069766145,-2.8977171929986447,-0.26656581950751806,-0.2172367771743074,0.7316158158052489,0.38949671772428884,457,-0.1390505829800769,,228.5,3,False,False,
gap_down_reversal,10,-3.5,0.6,30,3.0,-3.0,1.42045762821118,0.06454268720742017,-0.16628087118502044,1.1549293255394573,0.5817307692307693,208,0.1127789554671419,-3.5868112445213267,-0.16540336458151247,-0.11763283373153127,0.7744324656385849,0.4976958525345622,217,-0.07932038775401162,-2.525109635996882,108.5,4,False,False,
gap_down_reversal,11,-4.5,1.2,120,2.0,-2.0,-0.8130063432579597,-0.05815196937629612,-0.2511222097271951,0.907220496768046,0.5520504731861199,317,-0.1087116147949374,-3.7079260682271533,-0.3610463362041537,-0.18509954349161087,0.6420796631891339,0.425,320,-0.16040432868545085,,160.0,3,False,False,
gap_down_reversal,12,-3.0,2.4,105,4.0,-4.0,0.24167948559467947,0.01411708226711648,-0.1620586880127432,1.024758312726197,0.5555555555555556,225,0.0195504702250362,-2.890026642406248,-0.3218566148294816,-0.2561825446472666,0.5902304174897021,0.43434343434343436,198,-0.18400531753094862,-11.9580966307298,99.0,3,False,False,
gap_down_reversal,13,-2.5,1.8,45,3.5,-4.5,1.209086133238254,0.06103827500108329,-0.19767807848598978,1.1326523613221813,0.6222222222222222,270,0.11405522308179372,-2.5142473938442462,-0.21713920364529152,-0.23338501092750363,0.706107350454236,0.49748743718592964,199,-0.1247716660343462,-2.0794609455245534,99.5,3,False,False,
gap_down_reversal,14,-4.0,2.6999999999999997,105,3.0,-4.0,5.1193199092198665,0.15725137130359282,-0.1542296155227313,1.4618221235834858,0.672316384180791,177,0.34083383623876573,-3.4002508819398765,-0.2717955022425639,-0.1872430219759777,0.6286237762714336,0.4342105263157895,152,-0.1415882855625633,-0.6641997261816054,76.0,3,False,False,
gap_down_reversal,15,-1.5,2.0999999999999996,60,5.5,-3.5,2.044069128726925,0.07157043449884183,-0.14784456111841832,1.1412365964087097,0.4507042253521127,355,0.14233812812364222,-2.795281992217707,-0.4997768842352701,-0.31886198347132727,0.45730913620675134,0.3063063063063063,222,-0.2844104079732419,-1.3675085411414867,111.0,2,False,False,
