strategy,trial_id,p_min_change_pct,p_entry_hhmm_min,p_entry_hhmm_max,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error,pass_stage1_v1,gates_passed_v2,pass_stage1_v2
close_to_open,0,2.0,1430,1510,0.3609512658200996,0.022507496154876,-0.2628773956886652,1.035690034245906,0.3888396811337467,1129,0.0467444403221959,-0.2721925345771014,0.0032554478725212,-0.2028311282759568,0.9923720141165604,0.3732970027247956,367,-0.0085272575472129,-0.7540977421388624,183.5,3,False,False,,False,3,False
close_to_open,1,3.0,1460,1505,0.4555415274140491,0.025604073078887,-0.2256052123558617,1.0468290835795917,0.4053295932678822,713,0.0505375184861394,6.764848956477287,0.0889774156920033,-0.1169766653829689,1.267110685682035,0.4007352941176471,272,0.0918858895227978,14.85012572811744,136.0,5,True,True,,True,5,True
close_to_open,2,2.0,1440,1520,0.2106288438914947,0.0171995559038261,-0.2800353608149692,1.0264758365438846,0.3888888888888889,1098,0.0293033076480762,1.7370008183601888,0.0427935191680596,-0.1786031314468564,1.0865573391886834,0.3881748071979434,389,0.0415867654390018,8.246737656002153,194.5,4,False,False,,False,4,False
close_to_open,3,4.5,1430,1500,2.223957037741849,0.0734107083691638,-0.1960305068536507,1.1723852447135814,0.4143126177024482,531,0.2000387613321075,1.364142486827663,0.0330072844053415,-0.1469786703722641,1.088407652183491,0.3588516746411483,209,0.02793890238704,0.6133852694442243,104.5,5,False,False,,False,5,False
close_to_open,4,2.0,1460,1505,0.3561902823667821,0.0217397925766236,-0.2391106250286868,1.0363004029801766,0.389917695473251,972,0.0420523276324324,0.5433115687475504,0.0198133302029839,-0.1517146764821408,1.0374764907072729,0.3696275071633237,349,0.0120155228580158,1.5253407957606284,174.5,4,False,False,,False,4,False
close_to_open,5,5.5,1430,1520,3.8455359848631865,0.0785154471933631,-0.1127145602855659,1.186972102615459,0.3985680190930787,419,0.1989788415452438,8.760129188735773,0.1084795679051454,-0.1263601624543439,1.331615634554474,0.3417085427135678,199,0.1189338777311856,2.277999535881975,99.5,4,True,False,,True,4,False
close_to_open,6,3.0,1490,1505,0.4555415274140491,0.025604073078887,-0.2256052123558617,1.0468290835795917,0.4053295932678822,713,0.0505375184861394,6.764848956477287,0.0889774156920033,-0.1169766653829689,1.267110685682035,0.4007352941176471,272,0.0918858895227978,14.85012572811744,136.0,5,True,True,,True,5,True
close_to_open,7,5.0,1470,1500,4.495092706459463,0.0958476746933682,-0.1142729144769454,1.2563287114967818,0.4112676056338028,355,0.2323373952375904,5.36645616685641,0.0731599672011997,-0.1017792152167444,1.2439508907862369,0.3664596273291925,161,0.0679226413886582,1.193847717344026,80.5,5,True,True,,True,5,True
close_to_open,8,2.5,1490,1510,0.2154121191401928,0.0159633957391588,-0.2346744813748,1.0268238733584567,0.3981264637002342,854,0.0251648580104202,12.609796751131428,0.1246731239720246,-0.1045507091637315,1.3166416579413338,0.3855799373040752,319,0.135186055190577,58.538009845791535,159.5,5,True,True,,True,5,True
close_to_open,9,3.5,1450,1505,2.103293748072148,0.0710132399768615,-0.1939534125869508,1.1467684351120635,0.413953488372093,645,0.1881789358020504,3.0717220554308047,0.056306521882199,-0.1402619609158641,1.1631935777815432,0.35,260,0.055510139119455,1.460434168192772,130.0,5,True,True,,True,5,True
