strategy,trial_id,p_gap_threshold_pct,p_volume_mult,p_entry_window_end_bar,p_take_profit_pct,p_stop_loss_pct,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error,pass_stage1_v1,gates_passed_v2,pass_stage1_v2
gap_up_chase,0,6.5,2.0,15,7.5,-3.0,-0.3709769451839763,-0.0110285915404588,-0.1456944320415437,0.948616748627028,0.3283582089552239,67,-0.0276144481830648,-1.3407325597552184,-0.0251330490583251,-0.1020283905308472,0.9364277493327456,0.3823529411764705,102,-0.0219376148310493,,51.0,4,False,False,,False,4,False
gap_up_chase,1,3.0,3.0,30,7.5,-4.0,-0.6764978123851199,-0.047140356258694,-0.3089821755736345,0.9177167663052604,0.3786127167630058,346,-0.1114598626893299,-3.221233635873702,-0.2895143174580981,-0.2577036749715848,0.6329868355370663,0.3662551440329218,243,-0.2345639798106369,,121.5,3,False,False,,False,3,False
gap_up_chase,2,6.5,2.0,75,5.0,-4.0,-0.4329393603570676,-0.0207575556432349,-0.2131363639306488,0.9312940010698972,0.4361702127659574,94,-0.0476199901682338,-1.036416495837089,-0.0216360156225379,-0.1901406216049675,0.9397938454243504,0.4803149606299212,127,-0.0325547025189673,,63.5,3,False,False,,False,3,False
gap_up_chase,3,1.5,2.0,30,3.5,-2.0,-1.3623241317588315,-0.3992939748021316,-0.6187105168354265,0.6861305150919713,0.3419257012888552,1319,-0.6065222017592491,-2.316193132566401,-0.6929495460994771,-0.4193035685323514,0.4981361160504932,0.3442367601246106,642,-0.4142485857922251,,321.0,2,False,False,,False,2,False
gap_up_chase,4,6.0,1.5,75,3.5,-1.5,-1.4554302070906937,-0.2228773583273922,-0.3594861480017498,0.6445263646835877,0.3035714285714285,224,-0.3115245364499918,-3.2339255574295334,-0.3881959867913477,-0.2713182132434301,0.5911741367423432,0.3133333333333333,300,-0.2713182132434301,,150.0,2,False,False,,False,2,False
gap_up_chase,5,6.5,4.5,30,5.5,-2.0,-0.9213060115389846,-0.0376104210510232,-0.1388705635218108,0.8821343078354459,0.2916666666666667,96,-0.0666668685845613,-3.15363558008098,-0.0931415596611629,-0.118759678635378,0.8284631923207388,0.3385826771653543,127,-0.0683135451600656,,63.5,3,False,False,,False,3,False
gap_up_chase,6,3.5,1.5,30,7.5,-2.5,-0.5198176461068265,-0.0198359513327414,-0.2235511774484858,0.9596444628397296,0.2953846153846154,325,-0.0603574610236542,-3.211502550243377,-0.3163246552147657,-0.2556978061713325,0.6266711667094023,0.2748091603053435,262,-0.2286149227809569,,131.0,2,False,False,,False,2,False
gap_up_chase,7,4.0,3.5,30,3.5,-1.0,-1.356652591839684,-0.5045497783236524,-0.6314304552138696,0.4745399894562166,0.2025586353944563,469,-0.6242672401973246,-2.8634995485361263,-0.4145506536497619,-0.3202272848497075,0.5530581627596025,0.2366412213740458,393,-0.3128888991881472,,196.5,2,False,False,,False,2,False
gap_up_chase,8,4.0,2.0,15,5.0,-4.0,-1.4648260898110488,-0.14708517606883,-0.3200957799429844,0.7152296386585899,0.4114832535885167,209,-0.2730510620923485,-3.1650751672589523,-0.2275464966060502,-0.2238036053188912,0.6681136922592182,0.4659685863874345,191,-0.1695692749751767,,95.5,3,False,False,,False,3,False
gap_up_chase,9,4.0,4.0,75,4.0,-1.0,-1.3102596211635975,-0.5269193796347782,-0.6783349585931089,0.504962633108689,0.185,600,-0.6694195842544812,-2.318016587523357,-0.5028170421692864,-0.4194324487587026,0.5219309566034767,0.202928870292887,478,-0.4175606602176962,,239.0,2,False,False,,False,2,False
gap_up_chase,10,1.5,5.0,75,2.5,-2.5,-1.4727258219753208,-0.3221462123472364,-0.5141708395168407,0.7514013400049421,0.4767441860465116,1290,-0.5100458984288185,-2.560205125482819,-0.5291045704100333,-0.3687032520905663,0.6031130377112627,0.4852941176470588,612,-0.3524307925068678,,306.0,3,False,False,,False,3,False
gap_up_chase,11,2.0,3.5,90,6.5,-1.0,-1.3318332000938222,-0.3942875268112221,-0.6453906446648476,0.6704701778759289,0.158374211632796,1427,-0.628144822029501,-1.941951684593184,-0.6387684589540414,-0.509345985133736,0.4904396165665934,0.1366538952745849,783,-0.4942868686561824,,391.5,2,False,False,,False,2,False
gap_up_chase,12,4.0,3.0,90,2.5,-4.0,-1.4807834790527268,-0.2083843483740174,-0.3960469126632857,0.7058975507135917,0.5738636363636364,352,-0.3591783862498663,-2.901480514878405,-0.387887887694039,-0.3128887109978311,0.606216223624658,0.5743440233236151,343,-0.3019938901654313,,171.5,3,False,False,,False,3,False
gap_up_chase,13,6.5,3.0,45,2.5,-1.0,-1.5301800111566295,-0.3015592148472085,-0.366936854723673,0.5472359867814867,0.2824074074074074,216,-0.3399538456860996,-3.024656467684225,-0.3843442232794061,-0.2957242522469205,0.5146225654867027,0.3,260,-0.2875820609900504,,130.0,2,False,False,,False,2,False
gap_up_chase,14,3.0,2.0,60,4.0,-2.5,-1.3425574751470477,-0.2162610274827688,-0.4656912566084544,0.7763899184612398,0.3767123287671233,584,-0.3901845408101501,-2.795785760276656,-0.4553184398032908,-0.3296561629038348,0.5842003466553956,0.3712871287128713,404,-0.3188703748952409,,202.0,3,False,False,,False,3,False
gap_up_chase,15,6.5,4.0,30,4.5,-3.0,-1.0377796760188276,-0.0731758152902628,-0.211106505463975,0.7894016002760688,0.3977272727272727,88,-0.1171711108492091,-1.7885849401486371,-0.0415033655564533,-0.1132222612840835,0.9112307519460736,0.452991452991453,117,-0.0335464502192375,,58.5,4,False,False,,False,4,False
gap_up_chase,16,3.0,3.5,90,7.0,-1.5,-1.2922199162475654,-0.1322681424548711,-0.4002075767007675,0.8364000881425223,0.2011922503725782,671,-0.3071350478673732,-2.3328631510132087,-0.499570329707582,-0.4153719793581006,0.5160298901691548,0.1783439490445859,471,-0.4077647159427123,,235.5,2,False,False,,False,2,False
gap_up_chase,17,2.0,2.5,75,7.5,-3.5,0.7488188725791928,0.044401573248975,-0.2415807654665059,1.0603381445377251,0.3686567164179104,670,0.0874096059086164,-2.541980926778953,-0.2719886527389348,-0.3364061656577204,0.6769215736838051,0.3245382585751979,379,-0.2527305344902435,-3.394653927489148,189.5,2,False,False,,False,2,False
gap_up_chase,18,2.5,5.0,60,4.0,-1.5,-1.3379964782070877,-0.4040706685961506,-0.6507851559559464,0.6443054506064853,0.2517985611510791,834,-0.6433911018220938,-2.458593687108628,-0.5262850939270164,-0.3893529238990431,0.5598195526502171,0.2741935483870967,496,-0.3783619970297612,,248.0,2,False,False,,False,2,False
gap_up_chase,19,7.0,3.0,90,4.5,-1.0,-1.6004424863994242,-0.205784694736828,-0.3064260541613877,0.6203627446072075,0.2068965517241379,203,-0.2880565454718298,-3.192181872022827,-0.2025285517070757,-0.2426844240040627,0.6653164983847675,0.223175965665236,233,-0.2012652406399566,,116.5,2,False,False,,False,2,False
gap_up_chase,20,1.5,3.0,15,8.0,-3.0,-0.0530204861044673,0.0017635234400441,-0.2433169065707556,1.000843929726757,0.3301369863013698,730,-0.0065225212794443,-2.774269858969839,-0.2579815160301797,-0.2659905818881049,0.68826654836878,0.3035714285714285,336,-0.1828512716791168,,168.0,2,False,False,,False,2,False
gap_up_chase,21,4.5,3.5,15,3.5,-2.0,-1.437093714020592,-0.2900284308958148,-0.4483359612697183,0.5519107772954818,0.3080357142857143,224,-0.4060361245998095,-3.244941641383748,-0.2838949433462694,-0.2315157255276567,0.636522830385143,0.3681818181818181,220,-0.1892562878992438,,110.0,3,False,False,,False,3,False
gap_up_chase,22,7.0,4.0,30,7.0,-2.5,0.9534096236512608,0.0342420039990552,-0.1095778587402886,1.133581051070486,0.3333333333333333,63,0.0513533913875401,2.876343699921597,0.05208868646251,-0.0933552237708032,1.1215971899642043,0.3645833333333333,96,0.0365175697227726,3.0169023141449944,48.0,5,False,False,,False,5,False
gap_up_chase,23,4.5,5.0,30,4.0,-3.5,-1.4575397954473803,-0.2142654090970829,-0.4208147276701005,0.6325234737731381,0.4146341463414634,205,-0.380531830059342,-2.969638245699466,-0.1688086573697563,-0.2102284866486127,0.7362910160268739,0.4858757062146893,177,-0.1372433679992755,,88.5,3,False,False,,False,3,False
gap_up_chase,24,3.0,3.5,90,6.5,-2.5,-0.8019228984556181,-0.072062603260252,-0.3802533522571819,0.9058135865431576,0.302,500,-0.1674962805232961,-2.758426552874799,-0.3505557373987995,-0.3220272405845762,0.6267544545389193,0.2946175637393767,353,-0.2814463334392143,,176.5,2,False,False,,False,2,False
gap_up_chase,25,6.0,4.5,45,3.5,-3.5,-1.0465556543078216,-0.0829027209543133,-0.2501989077672574,0.7918338766780503,0.5042735042735043,117,-0.1418762108779058,-2.9190724501777656,-0.091128726834266,-0.1352348657876208,0.8309107609043634,0.5294117647058824,136,-0.0729225235431804,,68.0,4,False,False,,False,4,False
gap_up_chase,26,5.5,5.0,15,8.0,-4.0,0.1764027043823533,0.0128100020897302,-0.1834607442205379,1.0281707267368194,0.3953488372093023,86,0.016181069233212,-2.7239940794566406,-0.1331164930131798,-0.2085449143222032,0.7419971835745002,0.3652173913043478,115,-0.1189067465340263,-15.44190656823705,57.5,3,False,False,,False,3,False
gap_up_chase,27,2.0,2.5,90,3.0,-1.0,-1.1195224025998485,-0.8803506126776217,-0.8796599341354964,0.516601693794407,0.2312591866731994,2041,-0.878738972402903,-1.464928684545265,-1.150435568003711,-0.6822768901342494,0.3907481581275896,0.2262711864406779,1180,-0.6809136501869291,,590.0,2,False,False,,False,2,False
gap_up_chase,28,6.5,4.5,75,2.5,-2.5,-1.4428741159715466,-0.1429848270394358,-0.246482676133815,0.7053746469964647,0.475177304964539,141,-0.1986805573290888,-3.6504148122598736,-0.1577985273277579,-0.1464759227298026,0.7600954277172739,0.4969696969696969,165,-0.1089613293483325,,82.5,4,False,False,,False,4,False
gap_up_chase,29,4.5,5.0,75,4.0,-2.0,-1.3925872239757495,-0.2344465292523399,-0.4588154434995695,0.6928445217576057,0.3148148148148148,324,-0.4015419220948809,-3.3986904270010942,-0.3324599710010989,-0.2509176885317193,0.6408404091918254,0.3406593406593406,273,-0.2509176885317192,,136.5,2,False,False,,False,2,False
gap_up_chase,30,1.5,2.0,90,6.0,-1.0,-1.3434246133392995,-0.4158176840886703,-0.6353887549190311,0.7167906055456224,0.1631722880583409,2194,-0.6202796790315483,-1.6371438066590165,-0.9330078305686564,-0.6095123477431958,0.3868206724897444,0.1304347826086956,1081,-0.6042118651788457,,540.5,2,False,False,,False,2,False
gap_up_chase,31,3.5,4.0,15,4.0,-2.5,-1.5076953290507586,-0.217000676456209,-0.3896607776337279,0.6983365683956063,0.3571428571428571,308,-0.3599832680968302,-3.537611002022688,-0.2707510639750226,-0.2105116486206823,0.6683326316034468,0.3934426229508196,244,-0.1860740552645302,,122.0,3,False,False,,False,3,False
gap_up_chase,32,2.5,5.0,15,7.5,-1.5,-1.3411791825948916,-0.181292472720993,-0.4558589840663603,0.7530047813371187,0.1845878136200716,558,-0.3789467008756095,-3.0252175027039816,-0.4268537279493923,-0.2947200906443251,0.5472916233730044,0.1799410029498525,339,-0.2846918916717638,,169.5,2,False,False,,False,2,False
gap_up_chase,33,3.5,2.5,75,2.5,-1.0,-1.1979986305933246,-0.745118736147105,-0.8007254364474702,0.4892174941699921,0.2481827622014538,963,-0.8007254364474702,-1.7267879065851222,-0.9232290691095584,-0.577161937939587,0.4155774932045142,0.2671957671957672,756,-0.5762978876012597,,378.0,2,False,False,,False,2,False
gap_up_chase,34,6.5,3.5,90,6.0,-2.0,-1.0762647200876685,-0.0696458080606855,-0.2231263613258467,0.8191574219800465,0.264,125,-0.1292516920254149,-3.290796582972036,-0.1866375804209042,-0.1939186489900231,0.7200768639509312,0.2941176470588235,170,-0.1421141856450783,,85.0,2,False,False,,False,2,False
