strategy,trial_id,p_lookback_days,p_buffer_pct,p_entry_hhmm_min,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error
trend_followthrough,0,6,0.0,1470,14.056957719822307,0.15738896240314015,-0.09882590458708712,1.6412097575800986,0.528,375,0.5510524429830126,8.488835461178963,0.07802681954459999,-0.050679242382661256,1.3075356513377099,0.3974358974358974,78,0.05543915491998308,0.603888524841225,39.0,5,True,True,
trend_followthrough,1,10,0.30000000000000004,1450,24.641799653762156,0.18954176832635558,-0.08137429965868452,1.9553365738139958,0.5562700964630225,311,0.741139957484614,9.592040787581361,0.0783104125752757,-0.046108469058460146,1.3665936217948993,0.35384615384615387,65,0.056777137029609515,0.38925893897189073,32.5,4,True,True,
trend_followthrough,2,6,1.0,1440,18.16360613771303,0.1892720863128478,-0.12406899783823494,1.9982093639578373,0.5768025078369906,319,0.8122214317910579,24.161846051181392,0.1406593054346495,-0.04266789663245261,1.78847810601225,0.43478260869565216,69,0.11275258443299174,1.3302339782084485,34.5,5,True,True,
trend_followthrough,3,16,0.0,1430,13.164761252280853,0.16314279219433742,-0.09496040110704931,1.6393964916181136,0.5431309904153354,313,0.5048788979259218,20.750954084870855,0.12766420665736455,-0.042388728919986185,1.7395509115968668,0.3684210526315789,57,0.0998350517359825,1.57624993626646,28.5,5,True,True,
trend_followthrough,4,5,0.30000000000000004,1460,15.788348754874836,0.15391331688205076,-0.0846463994947926,1.6085401435727458,0.5184210526315789,380,0.5336936002235981,4.758070414225363,0.052323677336517216,-0.053882491918433216,1.193390405189361,0.3670886075949367,79,0.0350150077554634,0.30136593054142247,39.5,4,True,True,
trend_followthrough,5,19,0.9,1430,11.665039684272214,0.16662165751090946,-0.12825821776648177,1.855595687903244,0.570281124497992,249,0.585662255140754,28.875084227542335,0.14858098722380567,-0.04157581005714998,2.028028900712955,0.3617021276595745,47,0.1262899207847481,2.475352421344451,23.5,5,True,True,
trend_followthrough,6,20,0.30000000000000004,1490,12.86089270210676,0.15457415783171244,-0.09559134545644266,1.785611577134997,0.569672131147541,244,0.4978720558483678,22.544850273705382,0.1323895026805937,-0.050679242382661256,1.9580188218377421,0.38636363636363635,44,0.12176650907973552,1.7529770907747546,22.0,5,True,True,
trend_followthrough,7,10,0.7000000000000001,1470,12.497376917921263,0.16814360269309747,-0.10780096606604782,1.8323933630105536,0.5613382899628253,269,0.537263153497948,3.145792659932477,0.03867737720513027,-0.05113795209050583,1.1613013072822598,0.375,56,0.022748660984911018,0.2517162345821069,28.0,4,True,True,
trend_followthrough,8,3,0.2,1490,9.244126596152096,0.13021340197831516,-0.11255185354994336,1.443397712309975,0.4870689655172414,464,0.4324892168488932,-0.7397168265616748,-0.007770642577469637,-0.07782952888844043,0.9655504314343802,0.37606837606837606,117,-0.008901537952923477,-0.0800201964855809,58.5,4,False,False,
trend_followthrough,9,13,0.4,1450,18.629223452001284,0.1769579959388596,-0.09510523640273409,1.8519670942946482,0.5463917525773195,291,0.6716022168986315,13.689600070010506,0.10298921611020942,-0.046108469058460146,1.5691433538795971,0.32727272727272727,55,0.07657675740191183,0.7348454488874506,27.5,4,True,True,
