strategy,trial_id,p_lookback_days,p_buffer_pct,p_entry_hhmm_min,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error,pass_stage1_v1,gates_passed_v2,pass_stage1_v2
breakout_52w,0,210,0.1,1430,6.651880147199308,0.1126552617767071,-0.1242442905126345,1.568820335828218,0.5198019801980198,202,0.3546995737741316,38.30375264664034,0.1544059661876876,-0.034006519149845,2.318629774382192,0.3571428571428571,28,0.1340171025504144,5.758334756342184,14.0,4,True,False,,True,4,False
breakout_52w,1,210,0.4,1460,16.639752524909518,0.1446463369785061,-0.0713800644868713,1.9710164834457296,0.577639751552795,161,0.4837054915836229,6.665352391133272,0.0643764958831269,-0.0402988013745687,1.4127836405716347,0.4347826086956521,23,0.0365279197398062,0.4005680001042874,11.5,3,True,False,,True,3,False
breakout_52w,2,90,0.2,1440,6.406789420109108,0.1141712366845863,-0.1317980008706559,1.6076830094001702,0.5421052631578948,190,0.3613906989714519,36.823594217385946,0.1555469352762779,-0.0350529605741475,2.406052940123116,0.3571428571428571,28,0.1331387569583415,5.747589284237601,14.0,4,True,False,,True,4,False
breakout_52w,3,210,0.8,1440,12.852679043071907,0.146991254699721,-0.0934895118920189,1.971801284701277,0.5911949685534591,159,0.4884297977534371,38.33110686296157,0.1542482770696543,-0.0343357985955901,2.5325692458713385,0.375,24,0.1350210358229688,2.982343738181459,12.0,4,True,False,,True,4,False
breakout_52w,4,180,0.6000000000000001,1430,7.307217774559788,0.126589754752677,-0.1168930545936928,1.6308429739997068,0.5454545454545454,187,0.3650169208827984,39.40892501603747,0.1544416520928204,-0.0329285013333839,2.3104193243446147,0.3846153846153846,26,0.1336528371668426,5.393150475580509,13.0,4,True,False,,True,4,False
breakout_52w,5,60,0.1,1460,7.596237639419048,0.1159123007048808,-0.1207871310123958,1.698111838563859,0.5439560439560439,182,0.3883303559634155,22.494379845197948,0.1330913864134137,-0.0506792423826612,2.138177825232488,0.4444444444444444,27,0.1215644675204601,2.96125278236007,13.5,4,True,False,,True,4,False
breakout_52w,6,90,0.8,1430,9.287450360889403,0.1381342932861107,-0.1178254031183929,1.783910805855087,0.569060773480663,181,0.451420181815261,39.40378430631494,0.1522952359538729,-0.0332893571712875,2.4238182627663463,0.375,24,0.1346954422148749,4.242691241963361,12.0,4,True,False,,True,4,False
breakout_52w,7,180,0.3,1490,15.957192085796196,0.1406243979945959,-0.0709146213320224,1.938511144263246,0.5688622754491018,167,0.4643910375611169,26.26849989572093,0.1313645417884072,-0.0402988013745687,2.172100359674094,0.4583333333333333,24,0.1150242530062177,1.6461856042394218,12.0,4,True,False,,True,4,False
breakout_52w,8,90,0.7000000000000001,1470,14.553800207710747,0.149702579388074,-0.0849865946522506,2.0708853820035915,0.5870967741935483,155,0.5004053726320277,5.413905342224178,0.0540210465886139,-0.0402988013745687,1.3436514453701331,0.4285714285714285,21,0.03020681046325,0.3719925562366753,10.5,3,True,False,,True,3,False
breakout_52w,9,240,0.0,1450,9.50392424275315,0.1260408327596225,-0.1089190826399797,1.752429280715491,0.5337078651685393,178,0.4306181739517214,24.99425496278323,0.1204200102465434,-0.0352810058694013,2.021749886788213,0.3076923076923077,26,0.100030474104598,2.629887857307115,13.0,3,True,False,,True,3,False
