strategy,trial_id,p_vwap_deviation_pct,p_rebound_min_bars,p_entry_window_end_bar,p_take_profit_pct,p_stop_loss_pct,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error
vwap_bounce,0,-2.7,1,180,2.5,-2.1,-1.3529471605004757,-0.34680504509824134,-0.539837901750775,0.6253868749620728,0.42436974789915966,476,-0.4834367578826284,-2.4622920043086385,-0.617373723684628,-0.38852761456437734,0.5228752198871268,0.3230769230769231,520,-0.37707071374574896,,260.0,2,False,False,
vwap_bounce,1,-2.4,2,360,5.0,-2.7,-0.7431546007234965,-0.04030216935617615,-0.23939583253921287,0.9552625839778605,0.4,830,-0.09401175428842012,-2.8419440121142587,-0.2943423022823938,-0.299917228857582,0.7511290119228161,0.3356353591160221,724,-0.2505777579276882,,362.0,2,False,False,
vwap_bounce,2,-0.30000000000000027,7,60,1.0,-2.7,-1.2823230640814163,-0.9126567679502413,-0.7145334173615472,0.5182215437466982,0.6853869796032411,3579,-0.7134599087076305,-2.234487776925967,-1.0638134328663686,-0.4375852565062847,0.4097568941152701,0.6254948535233571,1263,-0.4367480271877987,,631.5,3,False,False,
vwap_bounce,3,-2.1,4,300,1.0,-2.1,-1.2509689556691397,-0.5919428233749567,-0.7368274248899119,0.5592554042578078,0.6151358344113842,1546,-0.7230788178407427,-1.8202056297696196,-0.9760721795613784,-0.5463820449803384,0.48121852568305523,0.5686556434219986,1391,-0.5440358589257933,,695.5,3,False,False,
vwap_bounce,4,-0.6000000000000001,7,150,4.5,-1.8,-1.2337677466040813,-0.23642800249389373,-0.37977265639867486,0.8635196701977866,0.3200402144772118,2984,-0.2728211245062788,-2.2229739080715736,-0.9024975832010738,-0.4366147896282531,0.5365304146706503,0.24219810040705564,1474,-0.41241090929920476,,737.0,2,False,False,
vwap_bounce,5,-3.0,3,240,3.5,-1.8,-1.3342954508046627,-0.23527285040436532,-0.4742284983368052,0.7088130148272042,0.336322869955157,446,-0.39640164526063826,-2.423638980480469,-0.4854129718438661,-0.3825502378212731,0.6025863971252411,0.2684563758389262,596,-0.3263267368818463,,298.0,2,False,False,
vwap_bounce,6,-2.4,4,210,1.5,-2.7,-1.3773445720385629,-0.42556900620750254,-0.5851325201952388,0.5796346330352301,0.5835820895522388,670,-0.5623220623506178,-2.49697545420427,-0.6025108144268468,-0.3795149699150181,0.5576556007779018,0.5476190476190477,714,-0.3590357259412017,,357.0,3,False,False,
vwap_bounce,7,-1.2000000000000002,2,210,3.5,-1.8,-1.3045077733965436,-0.45679508750949027,-0.5850159858949239,0.7380884880097153,0.33584755855498216,2519,-0.5161094457555103,-2.018507020407567,-0.9429570853022468,-0.48898466872459634,0.5595747462357943,0.2843072882468812,1523,-0.4806036239367584,,761.5,2,False,False,
vwap_bounce,8,-3.0,8,300,1.5,-1.2000000000000002,-1.302489595056937,-0.570510918276678,-0.6865907418458729,0.5147389272615478,0.40898058252427183,824,-0.6777360097163301,-1.7692972758588321,-1.1224758628563782,-0.5628123718281555,0.4201888042793462,0.33185840707964603,1130,-0.5615955062972555,,565.0,2,False,False,
vwap_bounce,9,-2.7,9,180,3.5,-2.1,-1.3225083504997828,-0.22255533451990142,-0.46224375708552423,0.7254673187744541,0.3553530751708428,439,-0.3788924581706835,-2.4152583470328466,-0.5087689018296515,-0.3868167281461322,0.5509453329439451,0.2765072765072765,481,-0.33666348922672296,,240.5,2,False,False,
vwap_bounce,10,-2.7,1,360,2.5,-1.8,-1.301870476459102,-0.3464402420056124,-0.6200631795743514,0.6798308664669303,0.42692750287687,869,-0.5638167203812703,-2.37226619922266,-0.3944711030004744,-0.3978450901369023,0.6840876258819675,0.34953464322647365,967,-0.3521497509169097,,483.5,2,False,False,
vwap_bounce,11,-2.7,4,90,4.0,-1.8,-1.3462323430453431,-0.14312350866464207,-0.32611806297879586,0.7697582485774311,0.32087227414330216,321,-0.2527373426208648,-3.222996039932198,-0.3437709469069547,-0.24840659839816853,0.6509789144588275,0.29310344827586204,232,-0.21585103951482043,,116.0,2,False,False,
vwap_bounce,12,-0.8999999999999999,6,120,3.5,-1.5,-1.3018301071310094,-0.5451604666303531,-0.6128384221267225,0.7109469467555215,0.304289990023279,3007,-0.5531895920276181,-2.167577400508003,-0.9729699647440273,-0.45188988272892555,0.5482509163732188,0.2671601615074024,1486,-0.44357955288179507,,743.0,2,False,False,
vwap_bounce,13,-2.1,5,360,1.5,-2.4,-1.331417389295892,-0.3128730328669908,-0.569180909771788,0.7481046818537253,0.5909722222222222,1440,-0.5106409473384301,-2.3252153544344427,-0.44340999624748884,-0.4129602272639116,0.6888244356373238,0.5227454110135674,1253,-0.3850554823141672,,626.5,3,False,False,
vwap_bounce,14,-0.6000000000000001,4,120,4.5,-1.2000000000000002,-1.3614990928316262,-0.572805841206651,-0.5846457976450281,0.7192249032071691,0.2326086956521739,4140,-0.5511707185786356,-1.890104900532378,-1.2215375938667992,-0.5250913021478871,0.4794767489804515,0.18219895287958116,1910,-0.5216259045033641,,955.0,2,False,False,
vwap_bounce,15,-1.8,9,150,3.5,-3.0,-1.0166741958793164,-0.10416668062170698,-0.3132337006391702,0.9008344776754679,0.4737991266375546,916,-0.17569864911561728,-2.7506146793247064,-0.4600619065742023,-0.32571011388987287,0.6312725306943481,0.39829059829059826,585,-0.2890551571381408,,292.5,3,False,False,
vwap_bounce,16,-2.1,1,210,4.0,-1.8,-1.3650732717179994,-0.23606407020308195,-0.47465905611129633,0.7927620768705519,0.3081510934393638,1006,-0.40911022811935605,-2.113241015291585,-0.758615446105026,-0.46541865935001075,0.5270554423982993,0.24774774774774774,888,-0.4616784325059058,,444.0,2,False,False,
vwap_bounce,17,-2.7,4,330,3.5,-2.1,-1.2374590117880555,-0.14180761035000114,-0.41809426964995844,0.843281620778725,0.4019471488178025,719,-0.3072929501333538,-2.4571745873749826,-0.4191073590225276,-0.3739951639368281,0.6742965316331591,0.312751677852349,745,-0.3154115305290338,,372.5,2,False,False,
vwap_bounce,18,-0.8999999999999999,7,360,4.5,-2.4,-0.4276451842089419,-0.03826972264869655,-0.24066251225700105,0.9810882336493791,0.3983548766157462,2553,-0.053264075164309865,-2.3483367344674946,-0.4802305300063626,-0.39400991140039937,0.6878014669788485,0.3239917976760082,1463,-0.32371151422374056,,731.5,2,False,False,
vwap_bounce,19,-1.8,3,150,5.0,-1.8,-1.2586101728047898,-0.21530345692776054,-0.47031962848547554,0.8185020757906943,0.27485380116959063,1197,-0.36347948957792775,-2.417850872782928,-0.59194831610312,-0.3938538910002121,0.5981089621495393,0.22954822954822954,819,-0.3679427018544318,,409.5,2,False,False,
vwap_bounce,20,-0.30000000000000027,7,330,4.0,-1.5,-1.4210638616435398,-0.4686220121153485,-0.479420044420749,0.7939783912762145,0.296421765826805,4723,-0.4380086941982331,-1.8166370516455308,-1.1478686434008338,-0.546572925661822,0.5116682038209758,0.2312980186008896,2473,-0.5260245561905001,,1236.5,2,False,False,
vwap_bounce,21,-2.1,3,300,4.5,-2.7,-0.007359362553506421,0.004642920961435377,-0.2069336167980779,1.0070611117592347,0.4158512720156556,1022,-0.0007677831122511192,-2.553005070815628,-0.42917221422478946,-0.35720486178908706,0.68339016910546,0.34600262123197906,763,-0.3067737588857715,,381.5,2,False,False,
vwap_bounce,22,-3.0,2,120,2.0,-1.2000000000000002,-1.4291038722084897,-0.4283202322559929,-0.5063798635215065,0.5313609247087293,0.3592964824120603,398,-0.47700453923003294,-2.640869538319194,-0.7526864483313447,-0.35793761076770275,0.436781182230407,0.2978142076502732,366,-0.3547373054347178,,183.0,2,False,False,
vwap_bounce,23,-0.30000000000000027,2,240,4.0,-0.8999999999999999,-1.2034994180230874,-1.1930562642530014,-0.7918865438648746,0.5975443876947966,0.1817569388305039,7422,-0.7859001064706892,-1.4091531505954908,-2.0045328314058675,-0.7094415837292183,0.39927240744015796,0.1473656057769457,3739,-0.707494129746302,,1869.5,2,False,False,
vwap_bounce,24,-0.6000000000000001,5,300,1.0,-2.7,-1.283715985371341,-0.9412492614860251,-0.706126715194523,0.5877716738410785,0.6861733782979568,5041,-0.6970290813837181,-1.8095485828327478,-1.1754158256256886,-0.5498401229361971,0.48819619364383443,0.6337254901960784,2550,-0.5496919384788976,,1275.0,3,False,False,
vwap_bounce,25,-0.6000000000000001,5,360,3.5,-2.7,-1.1226935180487096,-0.1710933713286131,-0.30618546110949824,0.9056854346144846,0.47072758037225043,2955,-0.19126184763781384,-2.5593496916084755,-0.4977645106090764,-0.3576050680971148,0.7091114111446841,0.3989737010904426,1559,-0.3107436664555341,,779.5,3,False,False,
vwap_bounce,26,-1.8,7,120,4.5,-3.0,-0.1251446436778679,-0.003223314522372681,-0.2319430523722492,0.9980534180871902,0.44069912609238454,801,-0.014735262173010577,-3.0532162726044207,-0.2441637972113922,-0.22636501383806648,0.7783721851236682,0.38702928870292885,478,-0.1623569025294873,,239.0,3,False,False,
