strategy,trial_id,p_fast_period,p_slow_period,p_signal_period,p_entry_hhmm_min,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error,pass_stage1_v1,gates_passed_v2,pass_stage1_v2
macd_cross,0,8,20,12,1470,2.6152017630412505,0.0595058415688231,-0.0976174823989119,1.2767329911180945,0.4645161290322581,155,0.1214083191885719,0.4355778715273868,0.0117312183680153,-0.0616808119308909,1.0368023889989266,0.4385964912280701,57,0.0040058767931825,0.1665561249166672,28.5,4,False,False,,False,4,False
macd_cross,1,10,26,8,1440,0.9150843149015828,0.034702399759326,-0.1433438068775334,1.1439823488341123,0.4472049689440994,161,0.0640858657736354,-0.599511191287399,-0.0066572121790632,-0.0803750826745853,0.9558985468064995,0.375,56,-0.0074193431680515,-0.6551431179889432,28.0,4,False,False,,False,4,False
macd_cross,2,16,22,11,1490,0.5495311644404908,0.0186339566477851,-0.1040786888115506,1.0792015424445065,0.4341085271317829,129,0.0284265899361613,7.645344590596793,0.076823762943336,-0.047838909914961,1.4560770326026993,0.4761904761904761,42,0.0481245095927092,13.91248592494469,21.0,5,True,True,,True,5,True
macd_cross,3,8,20,7,1460,1.7023330385859796,0.0454136936633973,-0.083459992079871,1.1727448218767,0.4569892473118279,186,0.0692434180686301,1.0294456217477772,0.0273253282681415,-0.1006179254065244,1.0986864503567846,0.390625,64,0.0149732233165198,0.604726336394712,32.0,5,False,False,,False,5,False
macd_cross,4,10,36,11,1430,6.424643073653272,0.0991752966331102,-0.078872503098574,1.6322204479456408,0.4552238805970149,134,0.2294868006041384,1.810175829082848,0.0292162270410787,-0.0608915538114735,1.1500977341944425,0.4883720930232558,43,0.0158922719251326,0.28175508091744,21.5,4,False,False,,False,4,False
macd_cross,5,16,26,12,1490,1.2806387040458238,0.0416077380688484,-0.1040571525900163,1.1982615671387422,0.4482758620689655,116,0.0650752666180953,13.121462257503715,0.0927336247752445,-0.0343640073329704,1.634442569638087,0.5128205128205128,39,0.0577284303603877,10.24602974753932,19.5,5,True,True,,True,5,True
macd_cross,6,10,34,11,1470,2.381884996128843,0.0482244058210442,-0.0817156475006221,1.2513959073018106,0.4186046511627907,129,0.0937662616523544,2.0934461065094894,0.0412376597810967,-0.0806705439641869,1.2121256361452843,0.4545454545454545,44,0.0238097077995542,0.8789030998187828,22.0,5,False,False,,False,5,False
macd_cross,7,8,24,12,1490,1.631744454064337,0.0484319636580944,-0.1029858323319998,1.196255661437707,0.4635761589403973,151,0.081428414656578,-2.8158455749901967,-0.0586084187388178,-0.0787121704297565,0.76562350997118,0.4181818181818181,55,-0.0370791269125003,-1.7256657854583228,27.5,4,False,False,,False,4,False
macd_cross,8,12,28,8,1460,1.9114079572573923,0.0601919762783367,-0.110191989518681,1.2429712087346985,0.4758620689655172,145,0.1011174674345807,24.0043662021202,0.1606572703325443,-0.056810036552113,2.144960212107803,0.5660377358490566,53,0.138505277736759,12.55847351214503,26.5,5,True,True,,True,5,True
macd_cross,9,12,22,7,1490,1.210259980141965,0.0423472208211255,-0.1365991428305751,1.1811060795701842,0.4620253164556962,158,0.0801556978456996,-0.4564362469651375,-0.0029158598121094,-0.0698579480559991,0.9738618961918324,0.4,60,-0.0048745668648885,-0.3771390068699099,30.0,4,False,False,,False,4,False
macd_cross,10,8,30,9,1470,0.8014672819645836,0.0334767293511103,-0.1573267303702538,1.139151018234584,0.4382716049382716,162,0.0616751175343641,0.6137903323112754,0.0163726015242394,-0.0771858387087726,1.0585216218444091,0.4444444444444444,54,0.0070043399593957,0.7658332986553511,27.0,5,False,False,,False,5,False
macd_cross,11,8,34,11,1440,1.8137142333827505,0.0537267150190766,-0.1061459240626837,1.2173201969659888,0.4545454545454545,143,0.0927881384258568,39.065249050803686,0.1876362468684941,-0.0483244905788056,2.8833134238870914,0.62,50,0.1734126979538821,21.538811534793584,25.0,5,True,True,,True,5,True
