strategy,trial_id,p_bb_period,p_bb_num_std,p_entry_window_end_bar,p_take_profit_pct,p_stop_loss_pct,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error,pass_stage1_v1,gates_passed_v2,pass_stage1_v2
bb_lower_bounce,137,20,2.0,300,1.25,-2.5,-1.2960486111882377,-1.014918632158014,-0.7005967999736104,0.637437309796348,0.6294308537194209,8012,-0.6995556133392579,-1.5597307440039758,-1.6803061536823012,-0.6404097682366159,0.4345164146803223,0.549496644295302,3576,-0.6404097682366159,,1788.0,3,False,False,,False,3,False
bb_lower_bounce,138,15,1.75,240,3.75,-2.5,-1.032876772536881,-0.1556399201968807,-0.3063450909422122,0.9217327408355772,0.4379049676025918,3704,-0.1744561936899824,-2.3438412392050867,-0.80406536003392,-0.4095504663002917,0.6214605696366879,0.3362397820163488,1835,-0.3843579293123296,,917.5,2,False,False,,False,2,False
bb_lower_bounce,139,35,1.75,90,2.5,-1.5,-1.317246338341199,-0.7513269760670833,-0.6526834237899949,0.6562680244793563,0.3700980392156863,4488,-0.6284013174669398,-1.9337327221426843,-1.2903920435902092,-0.5121999665530382,0.422638335059193,0.2893341190335887,1697,-0.5041576932411813,,848.5,2,False,False,,False,2,False
bb_lower_bounce,140,20,2.5,270,2.5,-3.0,-1.3490851780974011,-0.2499134058154097,-0.325478044354911,0.8802499920710889,0.561631139944393,4316,-0.2527822704292968,-2.0862818765183486,-0.9001622017908836,-0.4690152201416613,0.5768604457518988,0.4587426326129666,2036,-0.4395349437329603,,1018.0,3,False,False,,False,3,False
bb_lower_bounce,141,15,3.0,240,2.5,-3.0,-1.277525823387254,-0.2698340938143993,-0.3663247273293525,0.8716213352347782,0.561520737327189,4340,-0.2724337141729747,-2.1029985764878822,-0.9199739223467852,-0.4652682666774512,0.5538585757354799,0.4588235294117647,1955,-0.4393800004795808,,977.5,3,False,False,,False,3,False
bb_lower_bounce,142,40,3.0,330,2.5,-1.25,-1.2244536048830428,-1.164591138873596,-0.7732334871728934,0.6389352076055766,0.3200323849178811,8646,-0.7719935722291424,-1.4664054142743228,-1.792574111253616,-0.6815944803305438,0.4421423199867762,0.25669099756691,4110,-0.6815597121364102,,2055.0,2,False,False,,False,2,False
bb_lower_bounce,143,10,2.0,180,4.0,-1.5,-1.373837802905988,-0.6065634242806164,-0.5710007867586269,0.7560303666330478,0.2882438846294268,5478,-0.538558442946472,-1.7558645033595437,-1.197720500702485,-0.5670303433496267,0.473908858691567,0.2136452241715399,2565,-0.5592190944710393,,1282.5,2,False,False,,False,2,False
bb_lower_bounce,144,40,3.0,240,3.0,-1.0,-1.172037285139206,-1.3541545357430111,-0.8258623193264673,0.5642830831933916,0.2366242431731125,8093,-0.8233786191842787,-1.4507129174579905,-1.9519579553048103,-0.6890049013361512,0.3878197816229365,0.1876310272536687,3816,-0.686980710284465,,1908.0,2,False,False,,False,2,False
bb_lower_bounce,145,40,2.5,150,2.75,-2.25,-1.3420489413347707,-0.3368731502831432,-0.421977005875524,0.8300924001855312,0.4633255024797703,3831,-0.3436310546514362,-2.365255380560507,-0.8355695307214802,-0.4065084540032533,0.551570468282407,0.3702801461632156,1642,-0.3880685996989313,,821.0,3,False,False,,False,3,False
bb_lower_bounce,146,20,2.25,270,1.0,-1.5,-1.0595007558901248,-2.366055426261721,-0.9403267735731918,0.4451230703934393,0.5206157229246839,12733,-0.9403223828911544,-1.2110177664222226,-2.9227488811249427,-0.8257440482865817,0.3136521572286608,0.4571428571428571,5705,-0.8257440482865817,,2852.5,3,False,False,,False,3,False
bb_lower_bounce,147,20,2.75,360,4.0,-1.5,-1.420725654578266,-0.5163572300468521,-0.5014334511602807,0.800376458398767,0.30056087099967,6062,-0.4663613724384405,-1.7294291019810484,-1.024379698572643,-0.5758874123660895,0.5380239667649649,0.2277831247994866,3117,-0.5643727672000471,,1558.5,2,False,False,,False,2,False
bb_lower_bounce,148,35,1.75,270,1.5,-1.0,-1.0470570254282896,-2.3586124165550544,-0.9528267353475134,0.4534154262025422,0.334797189396359,12524,-0.9528153577929594,-1.188988716031132,-2.947830024846242,-0.841046516755643,0.2996465257807906,0.2895746164574616,5736,-0.840419889990241,,2868.0,2,False,False,,False,2,False
bb_lower_bounce,149,10,2.25,330,3.25,-3.0,-0.7259349476032584,-0.0882858759481354,-0.2594639403002647,0.96125479606303,0.5173116089613035,3928,-0.0998317602127243,-2.137820758893198,-0.7855194979656835,-0.4548493983881103,0.6108944437498744,0.4163179916317991,1912,-0.4179891962828188,,956.0,3,False,False,,False,3,False
bb_lower_bounce,150,10,2.75,240,1.5,-1.25,-1.060434544435899,-2.176168099809488,-0.9393452212617704,0.4911679608897336,0.3958094614503192,12218,-0.9390211718523008,-1.199406940709617,-2.7260420550956783,-0.8337396994438678,0.32025051082028,0.3391614629794826,5605,-0.8336794938818852,,2802.5,2,False,False,,False,2,False
bb_lower_bounce,151,15,1.5,180,2.5,-1.75,-1.3444943802870832,-0.7704333464639779,-0.6340658520612721,0.7178279999010112,0.405453951665578,6124,-0.6188459218447886,-1.6609657381254348,-1.5713802373914074,-0.6006379456086891,0.4403989415259098,0.3140834575260804,2684,-0.5983218543168305,,1342.0,2,False,False,,False,2,False
bb_lower_bounce,152,15,2.25,210,2.25,-1.5,-1.2269884663956183,-1.1976683278814666,-0.7706770833214387,0.6351794313404647,0.3808065339458907,7836,-0.769466453237505,-1.4658101682250575,-1.9446868615123116,-0.6818674777046756,0.4077167364514879,0.3053173241852487,3498,-0.6810352443441272,,1749.0,2,False,False,,False,2,False
bb_lower_bounce,153,20,3.0,240,2.0,-2.75,-1.4340337318804823,-0.5274414002583034,-0.4929424941870839,0.7730582219435256,0.5741599073001159,5178,-0.4612394883168441,-1.8881790713413376,-1.1341338932084637,-0.5249742704285553,0.5021565460152738,0.4829520932239965,2317,-0.5105570549497518,,1158.5,3,False,False,,False,3,False
