======================================================================
일봉 필터 옵션별 시뮬레이션 비교
======================================================================

======================================================================
필터 옵션: none
======================================================================
2026-01-31 13:07:42 | utils.data_cache | DEBUG | [332570] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:42 | utils.data_cache | DEBUG | [042520] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:42 | utils.data_cache | DEBUG | [381620] 일봉 DuckDB에서 로드 (1350개)
2026-01-31 13:07:42 | utils.data_cache | DEBUG | [468530] 일봉 DuckDB에서 로드 (292개)
2026-01-31 13:07:42 | utils.data_cache | DEBUG | [007660] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:42 | utils.data_cache | DEBUG | [214370] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:42 | utils.data_cache | DEBUG | [078350] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:42 | utils.data_cache | DEBUG | [469750] 일봉 DuckDB에서 로드 (620개)
2026-01-31 13:07:42 | utils.data_cache | DEBUG | [168360] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:42 | utils.data_cache | DEBUG | [019180] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:42 | utils.data_cache | DEBUG | [232140] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:42 | utils.data_cache | DEBUG | [252990] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:42 | utils.data_cache | DEBUG | [019180] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:42 | utils.data_cache | DEBUG | [092870] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [080580] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [064260] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [127120] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [089970] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [222800] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [114810] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [356860] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [067310] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [440110] 일봉 DuckDB에서 로드 (851개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [080580] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [168360] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [356860] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [108490] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [258790] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [042520] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [437730] 일봉 DuckDB에서 로드 (1743개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [272110] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [036200] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [067310] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [413630] 일봉 DuckDB에서 로드 (1349개)
