date,buy_time,sell_time,buy_price,sell_price,profit_pct,win,confidence,volume,close_price
replay,10:30,11:40,180040,185441,3.0,True,99,16217,180300
replay,11:12,13:31,26940,26401,-2.0,False,100,80318,27000
replay,10:09,10:39,608,596,-2.0,False,97,361966,610
replay,09:57,11:11,6352,6225,-2.0,False,100,58195,6380
replay,09:57,09:58,4722,4864,3.0,True,100,802655,4730
replay,10:00,10:45,4858,4761,-2.0,False,100,2832461,4890
replay,11:03,12:54,4691,4597,-2.0,False,97,272067,4695
replay,09:48,10:22,17360,17013,-2.0,False,97,260235,17390
replay,09:39,10:06,810,794,-2.0,False,100,119616,812
replay,14:33,14:35,882,864,-2.0,False,100,301052,883
replay,10:00,10:21,3043,3134,3.0,True,100,38089,3045
replay,10:21,10:22,3073,3165,3.0,True,100,30289,3075
replay,10:45,10:49,3118,3056,-2.0,False,100,63327,3125
replay,09:54,15:00,27890,27900,0.04,True,100,4592,27950
replay,10:06,10:42,1454,1425,-2.0,False,100,856856,1457
replay,11:00,11:38,1635,1602,-2.0,False,100,250034,1637
replay,14:54,14:59,13446,13177,-2.0,False,100,107203,13500
replay,11:15,15:00,7136,7170,0.48,True,100,27378,7140
replay,10:30,10:38,6750,6615,-2.0,False,100,106438,6760
replay,11:39,11:55,6914,7121,3.0,True,100,175918,6930
replay,11:57,12:10,7202,7418,3.0,True,100,1537436,7260
replay,13:03,13:24,7318,7538,3.0,True,97,322420,7340
replay,14:24,14:51,7976,7816,-2.0,False,100,1102287,7990
replay,13:03,13:40,10058,10360,3.0,True,100,35920,10100
replay,14:27,14:28,10832,10615,-2.0,False,100,115322,10860
replay,14:36,14:37,11092,11425,3.0,True,100,237644,11190
replay,14:39,14:43,11672,12022,3.0,True,100,765103,11790
